epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,49,,0.8520368337631226,,,,
0,99,,0.7158814668655396,,,,
0,149,,0.5515035390853882,,,,
0,199,,0.49396756291389465,,,,
0,249,,0.6955640316009521,,,,
0,299,,0.5613850355148315,,,,
0,349,,0.5453605651855469,,,,
0,399,,0.40638187527656555,,,,
0,440,,,0.6199654936790466,0.6292346715927124,0.7932431101799011,0.6292285919189453
0,440,0.6150315403938293,,,,,
1,449,,0.5226418375968933,,,,
1,499,,0.5658528804779053,,,,
1,549,,0.5145806670188904,,,,
1,599,,0.4491068124771118,,,,
1,649,,0.5613533854484558,,,,
1,699,,0.6154872179031372,,,,
1,749,,0.3616770803928375,,,,
1,799,,0.39475318789482117,,,,
1,849,,0.3214890956878662,,,,
1,881,,,0.5657370686531067,0.5595232844352722,0.748012900352478,0.5595239996910095
1,881,0.5124930143356323,,,,,
2,899,,0.44225937128067017,,,,
2,949,,0.5487586259841919,,,,
2,999,,0.4324559271335602,,,,
2,1049,,0.5805866718292236,,,,
2,1099,,0.4856681525707245,,,,
2,1149,,0.4224155843257904,,,,
2,1199,,0.3329155147075653,,,,
2,1249,,0.25120434165000916,,,,
2,1299,,0.473860502243042,,,,
2,1322,,,0.5207442045211792,0.443998247385025,0.666331946849823,0.4440017640590668
2,1322,0.4396640956401825,,,,,
3,1349,,0.4972248673439026,,,,
3,1399,,0.3572450578212738,,,,
3,1449,,0.3760544955730438,,,,
3,1499,,0.5326883792877197,,,,
3,1549,,0.33732306957244873,,,,
3,1599,,0.32713305950164795,,,,
3,1649,,0.5879034399986267,,,,
3,1699,,0.2691721022129059,,,,
3,1749,,0.543322741985321,,,,
3,1763,,,0.5056923031806946,0.43365296721458435,0.6585233211517334,0.43366843461990356
3,1763,0.38443273305892944,,,,,
4,1799,,0.26952704787254333,,,,
4,1849,,0.36193934082984924,,,,
4,1899,,0.28929248452186584,,,,
4,1949,,0.3822947144508362,,,,
4,1999,,0.2058970034122467,,,,
4,2049,,0.35395514965057373,,,,
4,2099,,0.36080896854400635,,,,
4,2149,,0.39102697372436523,,,,
4,2199,,0.2781178057193756,,,,
4,2204,,,0.5367814302444458,0.49270007014274597,0.7019259929656982,0.4926975667476654
4,2204,0.3508370518684387,,,,,
5,2249,,0.2647755742073059,,,,
5,2299,,0.33692169189453125,,,,
5,2349,,0.379641056060791,,,,
5,2399,,0.3040509521961212,,,,
5,2449,,0.33078140020370483,,,,
5,2499,,0.24034175276756287,,,,
5,2549,,0.3451138436794281,,,,
5,2599,,0.3487696647644043,,,,
5,2645,,,0.43960756063461304,0.3437545597553253,0.5863058567047119,0.34376072883605957
5,2645,0.32187333703041077,,,,,
6,2649,,0.17882435023784637,,,,
6,2699,,0.26657599210739136,,,,
6,2749,,0.2359166443347931,,,,
6,2799,,0.30465608835220337,,,,
6,2849,,0.17118903994560242,,,,
6,2899,,0.23746654391288757,,,,
6,2949,,0.43079423904418945,,,,
6,2999,,0.28824055194854736,,,,
6,3049,,0.25243890285491943,,,,
6,3086,,,0.47179681062698364,0.3906470537185669,0.6250176429748535,0.3906461298465729
6,3086,0.2995898425579071,,,,,
7,3099,,0.3666744530200958,,,,
7,3149,,0.34944862127304077,,,,
7,3199,,0.23008526861667633,,,,
7,3249,,0.3084063231945038,,,,
