epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,49,,0.7500548362731934,,,,
0,99,,0.858333945274353,,,,
0,149,,0.7349960803985596,,,,
0,199,,0.5006929636001587,,,,
0,249,,0.5436310172080994,,,,
0,299,,0.6622379422187805,,,,
0,349,,0.5383647680282593,,,,
0,399,,0.6575701236724854,,,,
0,449,,0.594626247882843,,,,
0,457,,,0.696127712726593,0.8438472747802734,0.9186115860939026,0.8438495993614197
0,457,0.6653861403465271,,,,,
1,499,,0.8013817071914673,,,,
1,549,,0.47492191195487976,,,,
1,599,,0.47231829166412354,,,,
1,649,,0.5697073936462402,,,,
1,699,,0.5780760645866394,,,,
1,749,,0.43198952078819275,,,,
1,799,,0.3880254626274109,,,,
1,849,,0.540691614151001,,,,
1,899,,0.5701916813850403,,,,
1,915,,,0.6081277132034302,0.6124289035797119,0.7825783491134644,0.6124274134635925
1,915,0.5552514791488647,,,,,
2,949,,0.4474260210990906,,,,
2,999,,0.46449822187423706,,,,
2,1049,,0.4230530261993408,,,,
2,1099,,0.4647281765937805,,,,
2,1149,,0.5564500093460083,,,,
2,1199,,0.5582398176193237,,,,
2,1249,,0.533417820930481,,,,
2,1299,,0.6175472736358643,,,,
2,1349,,0.5632026791572571,,,,
2,1373,,,0.5366101861000061,0.5011706948280334,0.7079340815544128,0.5011604428291321
2,1373,0.4746917188167572,,,,,
3,1399,,0.4389941692352295,,,,
3,1449,,0.38251787424087524,,,,
3,1499,,0.4584926962852478,,,,
3,1549,,0.5359473824501038,,,,
3,1599,,0.45879286527633667,,,,
3,1649,,0.5076748132705688,,,,
3,1699,,0.44935745000839233,,,,
3,1749,,0.44215795397758484,,,,
3,1799,,0.3635527789592743,,,,
3,1831,,,0.5076855421066284,0.4355359971523285,0.6599515080451965,0.4355239272117615
3,1831,0.41270262002944946,,,,,
4,1849,,0.4681616425514221,,,,
4,1899,,0.33097660541534424,,,,
4,1949,,0.4010288715362549,,,,
4,1999,,0.3564559817314148,,,,
4,2049,,0.3686414957046509,,,,
4,2099,,0.35543930530548096,,,,
4,2149,,0.31042081117630005,,,,
4,2199,,0.47386351227760315,,,,
4,2249,,0.3989848792552948,,,,
4,2289,,,0.4914301335811615,0.42026299238204956,0.6482769250869751,0.4202660918235779
4,2289,0.37478625774383545,,,,,
5,2299,,0.3316776156425476,,,,
5,2349,,0.24941086769104004,,,,
5,2399,,0.2593402862548828,,,,
5,2449,,0.3326660096645355,,,,
5,2499,,0.3966713547706604,,,,
5,2549,,0.18681111931800842,,,,
5,2599,,0.30743104219436646,,,,
5,2649,,0.48936349153518677,,,,
5,2699,,0.23253168165683746,,,,
5,2747,,,0.4940255582332611,0.4345928132534027,0.6592365503311157,0.43459638953208923
5,2747,0.34821489453315735,,,,,
6,2749,,0.34122905135154724,,,,
6,2799,,0.2699795365333557,,,,
6,2849,,0.44722455739974976,,,,
6,2899,,0.3710947632789612,,,,
6,2949,,0.222869873046875,,,,
6,2999,,0.2693234980106354,,,,
6,3049,,0.3314146399497986,,,,
6,3099,,0.29821157455444336,,,,
6,3149,,0.2523632049560547,,,,
6,3199,,0.25427860021591187,,,,
6,3205,,,0.48438602685928345,0.4159442186355591,0.6449373960494995,0.4159553349018097
6,3205,0.32555317878723145,,,,,
7,3249,,0.25024497509002686,,,,
7,3299,,0.20957182347774506,,,,
7,3349,,0.27827754616737366,,,,
7,3399,,0.2382415533065796,,,,
7,3449,,0.268746018409729,,,,
7,3499,,0.2619977593421936,,,,
7,3549,,0.3980509042739868,,,,
7,3599,,0.19884854555130005,,,,
7,3649,,0.38646048307418823,,,,
7,3663,,,0.4964991807937622,0.4349311590194702,0.659493088722229,0.43493372201919556
7,3663,0.3050268590450287,,,,,
8,3699,,0.24840128421783447,,,,
8,3749,,0.24450628459453583,,,,
8,3799,,0.28218701481819153,,,,
8,3849,,0.3216961622238159,,,,
8,3899,,0.23861363530158997,,,,
8,3949,,0.35384729504585266,,,,
8,3999,,0.28517574071884155,,,,
8,4049,,0.26584672927856445,,,,
8,4099,,0.21902775764465332,,,,
8,4121,,,0.4527938961982727,0.3650932013988495,0.6042294502258301,0.3650849759578705
8,4121,0.2908359467983246,,,,,
9,4149,,0.20059435069561005,,,,
9,4199,,0.34883299469947815,,,,
9,4249,,0.2691137194633484,,,,
9,4299,,0.21918457746505737,,,,
9,4349,,0.19559384882450104,,,,
9,4399,,0.19953061640262604,,,,
9,4449,,0.32783955335617065,,,,
9,4499,,0.2863200008869171,,,,
9,4549,,0.24690435826778412,,,,
9,4579,,,0.4501093327999115,0.3623165488243103,0.6019273400306702,0.36231285333633423
9,4579,0.2787293493747711,,,,,
10,4599,,0.198329359292984,,,,
10,4649,,0.23565080761909485,,,,
10,4699,,0.11438017338514328,,,,
10,4749,,0.31435728073120117,,,,
10,4799,,0.1945933848619461,,,,
10,4849,,0.2795598804950714,,,,
10,4899,,0.35543322563171387,,,,
10,4949,,0.2864375114440918,,,,
10,4999,,0.208597332239151,,,,
10,5037,,,0.4748314321041107,0.3934352993965149,0.627244234085083,0.3934313654899597
10,5037,0.26460540294647217,,,,,
11,5049,,0.2408691644668579,,,,
11,5099,,0.27627500891685486,,,,
11,5149,,0.22130125761032104,,,,
11,5199,,0.23509469628334045,,,,
11,5249,,0.2210192233324051,,,,
11,5299,,0.4161754846572876,,,,
11,5349,,0.2839474380016327,,,,
11,5399,,0.24800872802734375,,,,
11,5449,,0.25507843494415283,,,,
11,5495,,,0.4281984567642212,0.3327905237674713,0.5768799781799316,0.3327917456626892
11,5495,0.2563101053237915,,,,,
12,5499,,0.17824579775333405,,,,
12,5549,,0.15796038508415222,,,,
12,5599,,0.27876749634742737,,,,
12,5649,,0.2783668041229248,,,,
12,5699,,0.2136506885290146,,,,
12,5749,,0.3229665160179138,,,,
12,5799,,0.18181690573692322,,,,
12,5849,,0.2752191722393036,,,,
12,5899,,0.301735520362854,,,,
12,5949,,0.18313564360141754,,,,
12,5953,,,0.4171026051044464,0.3188125491142273,0.5646348595619202,0.3188151717185974
12,5953,0.2466159462928772,,,,,
13,5999,,0.24798405170440674,,,,
13,6049,,0.19770166277885437,,,,
13,6099,,0.2957819104194641,,,,
13,6149,,0.19247150421142578,,,,
13,6199,,0.22780917584896088,,,,
13,6249,,0.15897108614444733,,,,
13,6299,,0.13316139578819275,,,,
13,6349,,0.258617103099823,,,,
13,6399,,0.23170161247253418,,,,
13,6411,,,0.4074852466583252,0.30699265003204346,0.5540691614151001,0.3069916367530823
13,6411,0.23737381398677826,,,,,
14,6449,,0.1903228461742401,,,,
14,6499,,0.18363061547279358,,,,
14,6549,,0.2109217792749405,,,,
14,6599,,0.3289894163608551,,,,
14,6649,,0.27887457609176636,,,,
14,6699,,0.22451373934745789,,,,
14,6749,,0.29673606157302856,,,,
14,6799,,0.19979706406593323,,,,
14,6849,,0.3018636107444763,,,,
14,6869,,,0.42025333642959595,0.32143548130989075,0.5669528245925903,0.32143697142601013
14,6869,0.23081396520137787,,,,,
15,6899,,0.1638074666261673,,,,
15,6949,,0.15993769466876984,,,,
15,6999,,0.2889619469642639,,,,
15,7049,,0.14921237528324127,,,,
15,7099,,0.13941949605941772,,,,
15,7149,,0.1990271508693695,,,,
15,7199,,0.29899469017982483,,,,
15,7249,,0.24835935235023499,,,,
15,7299,,0.15573830902576447,,,,
15,7327,,,0.41206762194633484,0.31471583247184753,0.5609953999519348,0.31471800804138184
15,7327,0.226013645529747,,,,,
16,7349,,0.1781163513660431,,,,
16,7399,,0.29091504216194153,,,,
16,7449,,0.17553141713142395,,,,
16,7499,,0.22739872336387634,,,,
16,7549,,0.20091646909713745,,,,
16,7599,,0.17852525413036346,,,,
16,7649,,0.15751513838768005,,,,
16,7699,,0.1793975830078125,,,,
16,7749,,0.19044342637062073,,,,
16,7785,,,0.40664345026016235,0.3137058615684509,0.5600945353507996,0.31370580196380615
16,7785,0.2193630188703537,,,,,
17,7799,,0.22379544377326965,,,,
17,7849,,0.22227948904037476,,,,
17,7899,,0.22763733565807343,,,,
17,7949,,0.3124459981918335,,,,
17,7999,,0.22031675279140472,,,,
17,8049,,0.22200311720371246,,,,
17,8099,,0.2728661894798279,,,,
17,8149,,0.23295772075653076,,,,
17,8199,,0.15979894995689392,,,,
17,8243,,,0.39767828583717346,0.2972387671470642,0.5451960563659668,0.2972392141819
17,8243,0.2149818241596222,,,,,
18,8249,,0.1978549063205719,,,,
18,8299,,0.23113232851028442,,,,
18,8349,,0.16557645797729492,,,,
18,8399,,0.20816873013973236,,,,
18,8449,,0.2215440720319748,,,,
18,8499,,0.26699090003967285,,,,
18,8549,,0.16070780158042908,,,,
18,8599,,0.1775515377521515,,,,
18,8649,,0.17768530547618866,,,,
18,8699,,0.141886904835701,,,,
18,8701,,,0.40467286109924316,0.30127570033073425,0.5488858819007874,0.30127888917922974
18,8701,0.20796406269073486,,,,,
19,8749,,0.17325261235237122,,,,
19,8799,,0.4355763792991638,,,,
19,8849,,0.19137237966060638,,,,
19,8899,,0.22604236006736755,,,,
19,8949,,0.16369757056236267,,,,
19,8999,,0.14263871312141418,,,,
19,9049,,0.30631858110427856,,,,
19,9099,,0.11447945237159729,,,,
19,9149,,0.33874309062957764,,,,
19,9159,,,0.3901369273662567,0.28269684314727783,0.5316924452781677,0.2827073335647583
19,9159,0.20470239222049713,,,,,
20,9199,,0.17144714295864105,,,,
20,9249,,0.3129943907260895,,,,
20,9299,,0.281318724155426,,,,
20,9349,,0.1120307594537735,,,,
20,9399,,0.4805765151977539,,,,
20,9449,,0.14021621644496918,,,,
20,9499,,0.15278476476669312,,,,
20,9549,,0.23558126389980316,,,,
20,9599,,0.4201245605945587,,,,
20,9617,,,0.4039122760295868,0.30278530716896057,0.5502592921257019,0.30278006196022034
20,9617,0.19930198788642883,,,,,
21,9649,,0.2044200301170349,,,,
21,9699,,0.17392681539058685,,,,
21,9749,,0.1679348647594452,,,,
21,9799,,0.1360100358724594,,,,
21,9849,,0.25118696689605713,,,,
21,9899,,0.2857099175453186,,,,
21,9949,,0.22405552864074707,,,,
21,9999,,0.15392091870307922,,,,
21,10049,,0.33310842514038086,,,,
21,10075,,,0.3864424228668213,0.2793794572353363,0.5285635590553284,0.2793816924095154
21,10075,0.19627133011817932,,,,,
22,10099,,0.11981543898582458,,,,
22,10149,,0.25655314326286316,,,,
22,10199,,0.15116193890571594,,,,
22,10249,,0.18883740901947021,,,,
22,10299,,0.144759863615036,,,,
22,10349,,0.1926000714302063,,,,
22,10399,,0.24597980082035065,,,,
22,10449,,0.10256637632846832,,,,
22,10499,,0.1806340217590332,,,,
22,10533,,,0.3931358754634857,0.296678751707077,0.5446822643280029,0.29668059945106506
22,10533,0.191078782081604,,,,,
23,10549,,0.17993474006652832,,,,
23,10599,,0.11644287407398224,,,,
23,10649,,0.1908239722251892,,,,
23,10699,,0.1913413405418396,,,,
23,10749,,0.19015288352966309,,,,
23,10799,,0.2757495641708374,,,,
23,10849,,0.17323148250579834,,,,
23,10899,,0.1254090666770935,,,,
23,10949,,0.2719189524650574,,,,
23,10991,,,0.38543298840522766,0.2810528874397278,0.530144214630127,0.28105103969573975
23,10991,0.18708524107933044,,,,,
24,10999,,0.15157316625118256,,,,
24,11049,,0.11526809632778168,,,,
24,11099,,0.18092995882034302,,,,
24,11149,,0.335099995136261,,,,
24,11199,,0.18693861365318298,,,,
24,11249,,0.23064690828323364,,,,
24,11299,,0.3702668249607086,,,,
24,11349,,0.16807648539543152,,,,
24,11399,,0.15615731477737427,,,,
24,11449,,0.20757749676704407,,,,
24,11449,,,0.3847736120223999,0.2823769152164459,0.5313915014266968,0.28237584233283997
24,11449,0.18480852246284485,,,,,
25,11499,,0.29934555292129517,,,,
25,11549,,0.18172794580459595,,,,
25,11599,,0.14843399822711945,,,,
25,11649,,0.15730570256710052,,,,
25,11699,,0.18047839403152466,,,,
25,11749,,0.40796414017677307,,,,
25,11799,,0.3027304708957672,,,,
25,11849,,0.169501394033432,,,,
25,11899,,0.17054679989814758,,,,
25,11907,,,0.3755989074707031,0.2717837989330292,0.521328866481781,0.2717796862125397
25,11907,0.18098998069763184,,,,,
26,11949,,0.1635086089372635,,,,
26,11999,,0.12108439207077026,,,,
26,12049,,0.23529042303562164,,,,
26,12099,,0.23834651708602905,,,,
26,12149,,0.16079914569854736,,,,
26,12199,,0.2051786333322525,,,,
26,12249,,0.2071639895439148,,,,
26,12299,,0.22710077464580536,,,,
26,12349,,0.2553786635398865,,,,
26,12365,,,0.38961389660835266,0.2855985462665558,0.5344142317771912,0.28559690713882446
26,12365,0.18000665307044983,,,,,
27,12399,,0.1613239347934723,,,,
27,12449,,0.19855034351348877,,,,
27,12499,,0.17946606874465942,,,,
27,12549,,0.1761023998260498,,,,
27,12599,,0.28516456484794617,,,,
27,12649,,0.11462156474590302,,,,
27,12699,,0.1795882284641266,,,,
27,12749,,0.17727366089820862,,,,
27,12799,,0.16684161126613617,,,,
27,12823,,,0.3828865885734558,0.27742326259613037,0.5267098546028137,0.27742600440979004
27,12823,0.17730547487735748,,,,,
28,12849,,0.18795187771320343,,,,
28,12899,,0.19518528878688812,,,,
28,12949,,0.14831610023975372,,,,
28,12999,,0.11224813759326935,,,,
28,13049,,0.16825458407402039,,,,
28,13099,,0.13437989354133606,,,,
28,13149,,0.11129327118396759,,,,
28,13199,,0.2369253933429718,,,,
28,13249,,0.12421812862157822,,,,
28,13281,,,0.38212743401527405,0.2810933291912079,0.5301823616027832,0.2810942530632019
28,13281,0.17334671318531036,,,,,
29,13299,,0.13798169791698456,,,,
29,13349,,0.25353315472602844,,,,
29,13399,,0.15245254337787628,,,,
29,13449,,0.13074353337287903,,,,
29,13499,,0.2274039387702942,,,,
29,13549,,0.13949835300445557,,,,
29,13599,,0.1764601767063141,,,,
29,13649,,0.16811460256576538,,,,
29,13699,,0.19643300771713257,,,,
29,13739,,,0.38612812757492065,0.281147301197052,0.5302332639694214,0.2811489403247833
29,13739,0.17158329486846924,,,,,
30,13749,,0.3471779227256775,,,,
30,13799,,0.17290350794792175,,,,
30,13849,,0.19636768102645874,,,,
30,13899,,0.1753276139497757,,,,
30,13949,,0.1837393045425415,,,,
30,13999,,0.1495116949081421,,,,
30,14049,,0.25536268949508667,,,,
30,14099,,0.23939597606658936,,,,
30,14149,,0.1310279816389084,,,,
30,14197,,,0.3731500804424286,0.2669885754585266,0.5167093873023987,0.2669861316680908
30,14197,0.16971181333065033,,,,,
31,14199,,0.1009606197476387,,,,
31,14249,,0.10700087249279022,,,,
31,14299,,0.14828959107398987,,,,
31,14349,,0.10814018547534943,,,,
31,14399,,0.12795516848564148,,,,
31,14449,,0.11946124583482742,,,,
31,14499,,0.1995874047279358,,,,
31,14549,,0.17372913658618927,,,,
31,14599,,0.428777277469635,,,,
31,14649,,0.3831183612346649,,,,
31,14655,,,0.38047489523887634,0.2753883898258209,0.5247746109962463,0.27539053559303284
31,14655,0.16574890911579132,,,,,
32,14699,,0.16875430941581726,,,,
32,14749,,0.14278271794319153,,,,
32,14799,,0.1071121096611023,,,,
32,14849,,0.26898014545440674,,,,
32,14899,,0.1420862376689911,,,,
32,14949,,0.25471073389053345,,,,
32,14999,,0.10993154346942902,,,,
32,15049,,0.16690310835838318,,,,
32,15099,,0.18169692158699036,,,,
32,15113,,,0.37679073214530945,0.2722114324569702,0.5217388272285461,0.27221277356147766
32,15113,0.1653738170862198,,,,,
33,15149,,0.14815667271614075,,,,
33,15199,,0.11827564984560013,,,,
33,15249,,0.3727896809577942,,,,
33,15299,,0.16212713718414307,,,,
33,15349,,0.19757996499538422,,,,
33,15399,,0.13264061510562897,,,,
33,15449,,0.17012491822242737,,,,
33,15499,,0.12146149575710297,,,,
33,15549,,0.17289528250694275,,,,
33,15571,,,0.3744690418243408,0.2708008587360382,0.5203853249549866,0.27080243825912476
33,15571,0.16263388097286224,,,,,
34,15599,,0.2002629190683365,,,,
34,15649,,0.16830994188785553,,,,
34,15699,,0.141246035695076,,,,
34,15749,,0.11595095694065094,,,,
34,15799,,0.12024879455566406,,,,
34,15849,,0.12515504658222198,,,,
34,15899,,0.13210409879684448,,,,
34,15949,,0.08444003760814667,,,,
34,15999,,0.13373607397079468,,,,
34,16029,,,0.3731784224510193,0.2687373161315918,0.5183988213539124,0.26874226331710815
34,16029,0.1617492139339447,,,,,
35,16049,,0.1658189296722412,,,,
35,16099,,0.159978985786438,,,,
35,16149,,0.19409093260765076,,,,
35,16199,,0.2510188817977905,,,,
35,16249,,0.14686819911003113,,,,
35,16299,,0.12340596318244934,,,,
35,16349,,0.16621823608875275,,,,
35,16399,,0.13338667154312134,,,,
35,16449,,0.17106536030769348,,,,
35,16487,,,0.3686904311180115,0.26824596524238586,0.5179246664047241,0.268245130777359
35,16487,0.16146674752235413,,,,,
36,16499,,0.10332643985748291,,,,
36,16549,,0.12705588340759277,,,,
36,16599,,0.12299390137195587,,,,
36,16649,,0.17645277082920074,,,,
36,16699,,0.12740974128246307,,,,
36,16749,,0.13720223307609558,,,,
36,16799,,0.12368135154247284,,,,
36,16849,,0.1129082441329956,,,,
36,16899,,0.16024592518806458,,,,
36,16945,,,0.372139036655426,0.2730393409729004,0.5225316882133484,0.27303794026374817
