Strain,Chemical,Frequency,IC50 Scores,pIC50 Scores,delta_pIC50_RMSE,Reliable_pIC50,Representative_pIC50,,,Representative pIC50 Metric,,,,,mol_id,uniq_str
3D7,CHEMBL76,269,8.6 : 4.3 : 250.0 : 14.3 : 5.64 : 30.0 : 17.3 : 30.0 : 25.0 : 20.0 : 20.0 : 54.0 : 10.0 : 31.0 : 41.0 : 3.0 : 23.0 : 5.7 : 11.35 : 15000.0 : 82.0 : 174.5 : 40.0 : 130.0 : 27.2 : 9.7 : 23.9 : 15.62 : 8.0 : 15.0 : 6.5 : 18.0 : 23.0 : 9.0 : 19.4 : 150.0 : 56.3 : 17.8 : 25.0 : 89.0 : 11.6 : 8.5 : 23.0 : 7.68 : 9.0 : 4.6 : 78.0 : 8.6 : 5.4 : 10.2 : 10.9 : 60.0 : 6.6 : 4.75 : 23.0 : 5.0 : 27.0 : 20.0 : 30.0 : 20.0 : 10.0 : 29.0 : 80.0 : 40.0 : 162.3 : 20.0 : 6.5 : 50.4 : 25.0 : 50.0 : 9.25 : 16.0 : 10.1 : 78.0 : 32.0 : 96.5 : 25.0 : 14.0 : 12.0 : 10.0 : 8.0 : 9.6 : 20.0 : 13.5 : 11.0 : 16.6 : 19000.0 : 2.4 : 35.0 : 5.2 : 18.0 : 30.0 : 30.0 : 18.0 : 4.5 : 40.0 : 4.7 : 12.6 : 10.0 : 21000.0 : 12.0 : 16.0 : 21.9 : 18.0 : 5.0 : 12.0 : 10.0 : 0.03 : 106.0 : 51.1 : 28.0 : 17.0 : 174.5 : 5.5 : 7.0 : 5800.0 : 13.9 : 162.8 : 8.15 : 6.57 : 9.3 : 4.0 : 11.0 : 4.7 : 19.0 : 22.0 : 21.55 : 5.0 : 40.0 : 8.49 : 60.0 : 12.56 : 16.0 : 5000.0 : 45000.0 : 5.0 : 7.75 : 18.0 : 100.0 : 5.0 : 5.3 : 15.0 : 30.0 : 30.0 : 21.0 : 7.0 : 4.5 : 10.0 : 21.3 : 7.2 : 10.0 : 18.0 : 24.0 : 16.92 : 9.6 : 6.9 : 25.0 : 2.0 : 21.0 : 15.0 : 23.0 : 7.0 : 12.8 : 11.0 : 71.08 : 1.4 : 68.0 : 100.0 : 5.4 : 22.76 : 20.0 : 20.0 : 5.0 : 20.0 : 26.0 : 40.0 : 40.0 : 17.7 : 15.0 : 6.3 : 16.7 : 8.0 : 30.0 : 8.15 : 30.0 : 16.0 : 23.5 : 280.0 : 14.0 : 15.0 : 500.0 : 110.0 : 3.0 : 20.0 : 30.0 : 14.0 : 11.0 : 10.0 : 10.0 : 22.0 : 40.0 : 9.8 : 24.0 : 51.2 : 9.6 : 19.0 : 12.0 : 15.0 : 5.4 : 30.0 : 20.0 : 23.4 : 9.4 : 4.69 : 6.8 : 12.52 : 10.0 : 4.0 : 10000.0 : 3.8 : 3.0 : 2.0 : 17.0 : 25.0 : 5500.0 : 4.9 : 21.5 : 5.3 : 9.0 : 19.0 : 8.3 : 7.0 : 34.0 : 7.68 : 30.0 : 7.6 : 7.0 : 30.0 : 4.36 : 4.0 : 38.0 : 23.0 : 52.45 : 17.0 : 14.0 : 11.0 : 12.56 : 3.0 : 16.0 : 13.0 : 7.6 : 6.0 : 26.0 : 13.0 : 7.0 : 16.0 : 5.0 : 18.0 : 23.9 : 150.8 : 500000.0 : 75.9 : 11.0 : 22.0 : 8.0 : 11.72 : 10.0 : 11.7 : 11.0,8.065501549 : 8.366531544 : 6.602059991 : 7.844663963 : 8.248720896 : 7.522878745 : 7.761953897 : 7.522878745 : 7.602059991 : 7.698970004 : 7.698970004 : 7.26760624 : 8.0 : 7.508638306 : 7.387216143 : 8.522878745 : 7.638272164 : 8.244125144 : 7.945004138 : 4.823908741 : 7.086186148 : 6.758204569 : 7.397940009 : 6.886056648 : 7.565431096 : 8.013228266 : 7.621602099 : 7.80631897 : 8.096910013 : 7.823908741 : 8.187086643 : 7.744727495 : 7.638272164 : 8.045757491 : 7.71219827 : 6.823908741 : 7.249491605 : 7.749579998 : 7.602059991 : 7.050609993 : 7.935542011 : 8.070581074 : 7.638272164 : 8.11463878 : 8.045757491 : 8.337242168 : 7.107905397 : 8.065501549 : 8.26760624 : 7.991399828 : 7.962573502 : 7.22184875 : 8.180456064 : 8.32330639 : 7.638272164 : 8.301029996 : 7.568636236 : 7.698970004 : 7.522878745 : 7.698970004 : 8.0 : 7.537602002 : 7.096910013 : 7.397940009 : 6.78968148 : 7.698970004 : 8.187086643 : 7.297569464 : 7.602059991 : 7.301029996 : 8.033858267 : 7.795880017 : 7.995678626 : 7.107905397 : 7.494850022 : 7.015472687 : 7.602059991 : 7.853871964 : 7.920818754 : 8.0 : 8.096910013 : 8.017728767 : 7.698970004 : 7.869666232 : 7.958607315 : 7.779891912 : 4.721246399 : 8.619788758 : 7.455931956 : 8.283996656 : 7.744727495 : 7.522878745 : 7.522878745 : 7.744727495 : 8.346787486 : 7.397940009 : 8.327902142 : 7.899629455 : 8.0 : 4.677780705 : 7.920818754 : 7.795880017 : 7.659555885 : 7.744727495 : 8.301029996 : 7.920818754 : 8.0 : 10.52287875 : 6.974694135 : 7.2915791 : 7.552841969 : 7.769551079 : 6.758204569 : 8.259637311 : 8.15490196 : 5.236572006 : 7.8569852 : 6.788345599 : 8.088842391 : 8.18243463 : 8.031517051 : 8.397940009 : 7.958607315 : 8.327902142 : 7.721246399 : 7.657577319 : 7.666552726 : 8.301029996 : 7.397940009 : 8.07109231 : 7.22184875 : 7.901010361 : 7.795880017 : 5.301029996 : 4.346787486 : 8.301029996 : 8.110698297 : 7.744727495 : 7.0 : 8.301029996 : 8.27572413 : 7.823908741 : 7.522878745 : 7.522878745 : 7.677780705 : 8.15490196 : 8.346787486 : 8.0 : 7.671620397 : 8.142667504 : 8.0 : 7.744727495 : 7.619788758 : 7.771599641 : 8.017728767 : 8.161150909 : 7.602059991 : 8.698970004 : 7.677780705 : 7.823908741 : 7.638272164 : 8.15490196 : 7.89279003 : 7.958607315 : 7.148252581 : 8.853871964 : 7.167491087 : 7.0 : 8.26760624 : 7.642827742 : 7.698970004 : 7.698970004 : 8.301029996 : 7.698970004 : 7.585026652 : 7.397940009 : 7.397940009 : 7.752026734 : 7.823908741 : 8.200659451 : 7.777283529 : 8.096910013 : 7.522878745 : 8.088842391 : 7.522878745 : 7.795880017 : 7.628932138 : 6.552841969 : 7.853871964 : 7.823908741 : 6.301029996 : 6.958607315 : 8.522878745 : 7.698970004 : 7.522878745 : 7.853871964 : 7.958607315 : 8.0 : 8.0 : 7.657577319 : 7.397940009 : 8.008773924 : 7.619788758 : 7.290730039 : 8.017728767 : 7.721246399 : 7.920818754 : 7.823908741 : 8.26760624 : 7.522878745 : 7.698970004 : 7.630784143 : 8.026872146 : 8.328827157 : 8.167491087 : 7.902395671 : 8.0 : 8.397940009 : 5.0 : 8.420216403 : 8.522878745 : 8.698970004 : 7.769551079 : 7.602059991 : 5.259637311 : 8.30980392 : 7.66756154 : 8.27572413 : 8.045757491 : 7.721246399 : 8.080921908 : 8.15490196 : 7.468521083 : 8.11463878 : 7.522878745 : 8.119186408 : 8.15490196 : 7.522878745 : 8.360513511 : 8.397940009 : 7.420216403 : 7.638272164 : 7.280254507 : 7.769551079 : 7.853871964 : 7.958607315 : 7.901010361 : 8.522878745 : 7.795880017 : 7.886056648 : 8.119186408 : 8.22184875 : 7.585026652 : 7.886056648 : 8.15490196 : 7.795880017 : 8.301029996 : 7.744727495 : 7.621602099 : 6.821598658 : 3.301029996 : 7.119758224 : 7.958607315 : 7.657577319 : 8.096910013 : 7.931072388 : 8.0 : 7.931814138 : 7.958607315,1.010286,FALSE,7.79588,,,Not reliable if RSME >=1  = Not Reliable,,,Median,,CHEMBL170,140
K1,CHEMBL76,254,179.2 : 124.0 : 300.0 : 240.0 : 20.0 : 201.0 : 250.0 : 183.0 : 131.0 : 580.0 : 287.89 : 500.0 : 205.0 : 150.0 : 540.0 : 250.0 : 250.0 : 154.73 : 183.82 : 240.0 : 347.0 : 201.0 : 260.0 : 250.0 : 141.0 : 124.0 : 148.0 : 480.0 : 151.0 : 280.0 : 682.0 : 124.0 : 267.0 : 352.3 : 600.0 : 250.0 : 325.0 : 182.0 : 163.0 : 250.0 : 500.0 : 220.0 : 36.0 : 500.0 : 347.3 : 400.0 : 130.0 : 463.0 : 150.0 : 198.0 : 200.0 : 259.0 : 30.0 : 460.0 : 120.0 : 125.0 : 830.0 : 350.0 : 350.0 : 280.0 : 250.0 : 347.29 : 150.0 : 178.0 : 120.0 : 230.0 : 194.0 : 900.0 : 250.0 : 150.0 : 320.0 : 166500.0 : 187.34 : 200.0 : 519.3 : 4.0 : 165.6 : 160.0 : 150.0 : 279.0 : 457.0 : 210.0 : 200.0 : 130.0 : 154.0 : 10.0 : 350.0 : 850.0 : 291.0 : 183.2 : 278.0 : 140.0 : 254.0 : 352.3 : 352.3 : 194.0 : 230.0 : 370.0 : 190.0 : 154.0 : 124.0 : 53.0 : 230.0 : 254.05 : 103.5 : 200.0 : 194.0 : 320.0 : 266.58 : 431.0 : 570.0 : 73.9 : 250.0 : 172.0 : 170.0 : 12.5 : 120.0 : 316.0 : 89.0 : 16.0 : 540.0 : 260.0 : 190.0 : 258.0 : 240.0 : 140.0 : 222.0 : 500.0 : 392.1 : 400.0 : 500.0 : 19.0 : 1828.0 : 344.0 : 219.0 : 200.0 : 183.0 : 9.0 : 540.0 : 170.6 : 125.0 : 316.3 : 130.0 : 560.0 : 140.0 : 443.57 : 400.0 : 220.0 : 354.7 : 255.0 : 270.0 : 190.0 : 36.0 : 270.0 : 174.0 : 150.0 : 150.0 : 154.0 : 144.0 : 32000.0 : 344.0 : 260.0 : 120.0 : 360.0 : 570.0 : 420.0 : 660.0 : 156.0 : 440.0 : 36.0 : 254.0 : 600.0 : 12.0 : 260.0 : 124.0 : 183.0 : 420.0 : 255.0 : 293.3 : 194.0 : 147.72 : 148.0 : 200.0 : 315.0 : 150.0 : 400.0 : 70.0 : 190.0 : 194.0 : 300.0 : 144.0 : 347.0 : 209.5 : 930.0 : 291.0 : 328.0 : 209.5 : 500.0 : 148.0 : 154.0 : 1120.0 : 69.0 : 200.0 : 190.0 : 430.0 : 150.0 : 125.0 : 600.0 : 184.0 : 1160.0 : 140.0 : 150.0 : 255.0 : 140.0 : 500.0 : 270.0 : 150.0 : 150.0 : 111.2 : 300.0 : 800.0 : 300.0 : 144.0 : 440.0 : 254000.0 : 795.0 : 4.0 : 400.0 : 150.0 : 340.0 : 263.0 : 140.0 : 167.0 : 540.0 : 130.0 : 219.0 : 9.8 : 194.0 : 209.5 : 71.0 : 300.0 : 272.0 : 225000.0 : 118.9 : 201.8 : 500.0 : 60.0 : 213.0 : 280.0 : 120.0 : 500.0 : 314.0 : 212.0 : 390.0,6.746661995 : 6.906578315 : 6.522878745 : 6.619788758 : 7.698970004 : 6.696803943 : 6.602059991 : 6.73754891 : 6.882728704 : 6.236572006 : 6.54077342 : 6.301029996 : 6.688246139 : 6.823908741 : 6.26760624 : 6.602059991 : 6.602059991 : 6.810425474 : 6.735607238 : 6.619788758 : 6.459670525 : 6.696803943 : 6.585026652 : 6.602059991 : 6.850780887 : 6.906578315 : 6.829738285 : 6.318758763 : 6.821023053 : 6.552841969 : 6.166215625 : 6.906578315 : 6.573488739 : 6.453087357 : 6.22184875 : 6.602059991 : 6.488116639 : 6.739928612 : 6.787812396 : 6.602059991 : 6.301029996 : 6.657577319 : 7.443697499 : 6.301029996 : 6.459295217 : 6.397940009 : 6.886056648 : 6.334419009 : 6.823908741 : 6.70333481 : 6.698970004 : 6.586700236 : 7.522878745 : 6.337242168 : 6.920818754 : 6.903089987 : 6.080921908 : 6.455931956 : 6.455931956 : 6.552841969 : 6.602059991 : 6.459307722 : 6.823908741 : 6.749579998 : 6.920818754 : 6.638272164 : 6.71219827 : 6.045757491 : 6.602059991 : 6.823908741 : 6.494850022 : 3.778585762 : 6.727369484 : 6.698970004 : 6.284581677 : 8.397940009 : 6.780939668 : 6.795880017 : 6.823908741 : 6.554395797 : 6.3400838 : 6.677780705 : 6.698970004 : 6.886056648 : 6.812479279 : 8.0 : 6.455931956 : 6.070581074 : 6.536107011 : 6.737074531 : 6.555955204 : 6.853871964 : 6.595166283 : 6.453087357 : 6.453087357 : 6.71219827 : 6.638272164 : 6.431798276 : 6.721246399 : 6.812479279 : 6.906578315 : 7.27572413 : 6.638272164 : 6.595080801 : 6.98505965 : 6.698970004 : 6.71219827 : 6.494850022 : 6.574172436 : 6.36552273 : 6.244125144 : 7.131355562 : 6.602059991 : 6.764471553 : 6.769551079 : 7.903089987 : 6.920818754 : 6.500312917 : 7.050609993 : 7.795880017 : 6.26760624 : 6.585026652 : 6.721246399 : 6.588380294 : 6.619788758 : 6.853871964 : 6.653647026 : 6.301029996 : 6.406603158 : 6.397940009 : 6.301029996 : 7.721246399 : 5.738023809 : 6.463441557 : 6.659555885 : 6.698970004 : 6.73754891 : 8.045757491 : 6.26760624 : 6.768020973 : 6.903089987 : 6.499900808 : 6.886056648 : 6.251811973 : 6.853871964 : 6.353037834 : 6.397940009 : 6.657577319 : 6.450138812 : 6.59345982 : 6.568636236 : 6.721246399 : 7.443697499 : 6.568636236 : 6.759450752 : 6.823908741 : 6.823908741 : 6.812479279 : 6.841637508 : 4.494850022 : 6.463441557 : 6.585026652 : 6.920818754 : 6.443697499 : 6.244125144 : 6.37675071 : 6.180456064 : 6.806875402 : 6.356547324 : 7.443697499 : 6.595166283 : 6.22184875 : 7.920818754 : 6.585026652 : 6.906578315 : 6.73754891 : 6.37675071 : 6.59345982 : 6.532687937 : 6.71219827 : 6.830560701 : 6.829738285 : 6.698970004 : 6.501689446 : 6.823908741 : 6.397940009 : 7.15490196 : 6.721246399 : 6.71219827 : 6.522878745 : 6.841637508 : 6.459670525 : 6.678815973 : 6.031517051 : 6.536107011 : 6.484126156 : 6.678815973 : 6.301029996 : 6.829738285 : 6.812479279 : 5.950781977 : 7.161150909 : 6.698970004 : 6.721246399 : 6.366531544 : 6.823908741 : 6.903089987 : 6.22184875 : 6.735182177 : 5.935542011 : 6.853871964 : 6.823908741 : 6.59345982 : 6.853871964 : 6.301029996 : 6.568636236 : 6.823908741 : 6.823908741 : 6.953895213 : 6.522878745 : 6.096910013 : 6.522878745 : 6.841637508 : 6.356547324 : 3.595166283 : 6.099632871 : 8.397940009 : 6.397940009 : 6.823908741 : 6.468521083 : 6.580044252 : 6.853871964 : 6.777283529 : 6.26760624 : 6.886056648 : 6.659555885 : 8.008773924 : 6.71219827 : 6.678815973 : 7.148741651 : 6.522878745 : 6.565431096 : 3.647817482 : 6.924818145 : 6.695078838 : 6.301029996 : 7.22184875 : 6.671620397 : 6.552841969 : 6.920818754 : 6.301029996 : 6.503070352 : 6.673664139 : 6.408935393,0.726968,TRUE,6.636977,,,Reliable if RSME < 1  = Reliable,,,Mean,,CHEMBL76,97
W2,CHEMBL76,247,66.9 : 110.0 : 378.3 : 284.0 : 491.53 : 420.0 : 186.0 : 76.0 : 50.0 : 392.09 : 90.0 : 185.38 : 540.0 : 310.0 : 99.0 : 290.0 : 750.0 : 744100.0 : 310.0 : 100.0 : 36.0 : 150.0 : 228.0 : 144.0 : 70.0 : 720.0 : 13.0 : 460.0 : 125.0 : 198.0 : 410.0 : 240.0 : 140.0 : 310.0 : 0.06 : 60.0 : 69.4 : 616.94 : 175.0 : 280.0 : 80.0 : 299.0 : 410.0 : 110.0 : 59.0 : 394.0 : 412.0 : 232.6 : 630.6 : 810.0 : 52.0 : 720.0 : 15.9 : 59.09 : 595.0 : 1110.0 : 64.7 : 99.0 : 138.0 : 360.0 : 382.0 : 138.0 : 367.0 : 525.0 : 160.0 : 320.0 : 229.0 : 462000.0 : 437.62 : 135.0 : 120.0 : 456.2 : 440.0 : 118.0 : 90.0 : 70.0 : 456.2 : 500.0 : 400.0 : 340.0 : 430.0 : 500.0 : 481.2 : 556.0 : 240.0 : 397.0 : 100.0 : 280.0 : 430.6 : 700.0 : 440.0 : 130.0 : 49.0 : 316.0 : 190.55 : 131.0 : 480000.0 : 240.0 : 374.66 : 156.0 : 252.4 : 190.0 : 70.0 : 630.0 : 45.2 : 422.0 : 70.0 : 462.02 : 270.0 : 140.0 : 280.0 : 230.0 : 99.0 : 456.0 : 452.4 : 233.18 : 420.0 : 51.0 : 590.0 : 62.0 : 697.94 : 10.0 : 219.0 : 70.1 : 280.0 : 200.0 : 440.7 : 484.0 : 190.0 : 180.0 : 210.0 : 563.0 : 421.59 : 431.0 : 198.8 : 421.5 : 503.0 : 2000.0 : 900.0 : 69.0 : 700.0 : 186.0 : 59.0 : 550.0 : 130.0 : 23.66 : 420.0 : 142.7 : 150.0 : 6.3 : 400.0 : 431.0 : 300.0 : 405.0 : 25.0 : 317.0 : 140.0 : 349.4 : 52.0 : 49.0 : 69.0 : 485.3 : 410.0 : 12.3 : 700.0 : 78.1 : 60.0 : 338.0 : 519.0 : 196.0 : 290.0 : 250.0 : 406.0 : 69.0 : 100.0 : 143.0 : 280.0 : 700.0 : 280.0 : 455.0 : 420.0 : 87.2 : 412.0 : 520.0 : 349.35 : 240.0 : 681.0 : 410.0 : 390.0 : 283.5 : 340.0 : 276.5 : 79.0 : 77.0 : 166.6 : 249.0 : 236.0 : 632.0 : 50.5 : 135.0 : 266.0 : 59.0 : 99.0 : 240.0 : 700.0 : 79.0 : 232.65 : 250.0 : 317.1 : 11.0 : 93.0 : 141.9 : 21.0 : 400.0 : 53.0 : 284.0 : 174.5 : 400.0 : 200.0 : 405.0 : 1330.0 : 75.0 : 290.0 : 99.97 : 430.0 : 55.0 : 21.0 : 12.3 : 59.0 : 36.37 : 390.0 : 422.0 : 400.0 : 374.7 : 9.8 : 282.0 : 780.0 : 10.0 : 5.35 : 79.0 : 1500.0 : 121.0 : 233.0 : 127.0 : 469.2 : 50.0 : 180.0,7.174573882 : 6.958607315 : 6.422163659 : 6.54668166 : 6.30844997 : 6.37675071 : 6.730487056 : 7.119186408 : 7.301029996 : 6.406614234 : 7.045757491 : 6.731937122 : 6.26760624 : 6.508638306 : 7.004364805 : 6.537602002 : 6.124938737 : 3.128368695 : 6.508638306 : 7.0 : 7.443697499 : 6.823908741 : 6.642065153 : 6.841637508 : 7.15490196 : 6.142667504 : 7.886056648 : 6.337242168 : 6.903089987 : 6.70333481 : 6.387216143 : 6.619788758 : 6.853871964 : 6.508638306 : 10.22184875 : 7.22184875 : 7.15864053 : 6.209757071 : 6.756961951 : 6.552841969 : 7.096910013 : 6.524328812 : 6.387216143 : 6.958607315 : 7.229147988 : 6.404503778 : 6.385102784 : 6.63339029 : 6.200246034 : 6.091514981 : 7.283996656 : 6.142667504 : 7.798602876 : 7.22848601 : 6.225483034 : 5.954677021 : 7.189095719 : 7.004364805 : 6.860120914 : 6.443697499 : 6.417936637 : 6.860120914 : 6.435333936 : 6.279840697 : 6.795880017 : 6.494850022 : 6.640164518 : 3.335358024 : 6.358902838 : 6.869666232 : 6.920818754 : 6.340844719 : 6.356547324 : 6.928117993 : 7.045757491 : 7.15490196 : 6.340844719 : 6.301029996 : 6.397940009 : 6.468521083 : 6.366531544 : 6.301029996 : 6.317674381 : 6.254925208 : 6.619788758 : 6.401209493 : 7.0 : 6.552841969 : 6.365925975 : 6.15490196 : 6.356547324 : 6.886056648 : 7.30980392 : 6.500312917 : 6.719991047 : 6.882728704 : 3.318758763 : 6.619788758 : 6.426362671 : 6.806875402 : 6.597910649 : 6.721246399 : 7.15490196 : 6.200659451 : 7.344861565 : 6.374687549 : 7.15490196 : 6.335339224 : 6.568636236 : 6.853871964 : 6.552841969 : 6.638272164 : 7.004364805 : 6.341035157 : 6.344477404 : 6.632308702 : 6.37675071 : 7.292429824 : 6.229147988 : 7.207608311 : 6.156181911 : 8.0 : 6.659555885 : 7.154281982 : 6.552841969 : 6.698970004 : 6.355856949 : 6.315154638 : 6.721246399 : 6.744727495 : 6.677780705 : 6.249491605 : 6.375109699 : 6.36552273 : 6.70158362 : 6.375202421 : 6.298432015 : 5.698970004 : 6.045757491 : 7.161150909 : 6.15490196 : 6.730487056 : 7.229147988 : 6.259637311 : 6.886056648 : 7.62598526 : 6.37675071 : 6.845576027 : 6.823908741 : 8.200659451 : 6.397940009 : 6.36552273 : 6.522878745 : 6.392544977 : 7.602059991 : 6.498940738 : 6.853871964 : 6.456677099 : 7.283996656 : 7.30980392 : 7.161150909 : 6.313989709 : 6.387216143 : 7.910094889 : 6.15490196 : 7.107348966 : 7.22184875 : 6.4710833 : 6.284832642 : 6.707743929 : 6.537602002 : 6.602059991 : 6.391473966 : 7.161150909 : 7.0 : 6.844663963 : 6.552841969 : 6.15490196 : 6.552841969 : 6.341988603 : 6.37675071 : 7.059483515 : 6.385102784 : 6.283996656 : 6.456739252 : 6.619788758 : 6.166852888 : 6.387216143 : 6.408935393 : 6.547446937 : 6.468521083 : 6.558304864 : 7.102372909 : 7.113509275 : 6.778325003 : 6.603800653 : 6.627087997 : 6.199282922 : 7.296708622 : 6.869666232 : 6.575118363 : 7.229147988 : 7.004364805 : 6.619788758 : 6.15490196 : 7.102372909 : 6.633296943 : 6.602059991 : 6.498803758 : 7.958607315 : 7.031517051 : 6.848017605 : 7.677780705 : 6.397940009 : 7.27572413 : 6.54668166 : 6.758204569 : 6.397940009 : 6.698970004 : 6.392544977 : 5.876148359 : 7.124938737 : 6.537602002 : 7.000130308 : 6.366531544 : 7.259637311 : 7.677780705 : 7.910094889 : 7.229147988 : 7.439256699 : 6.408935393 : 6.374687549 : 6.397940009 : 6.426316307 : 8.008773924 : 6.549750892 : 6.107905397 : 8.0 : 8.271646218 : 7.102372909 : 5.823908741 : 6.91721463 : 6.632644079 : 6.896196279 : 6.328641997 : 7.301029996 : 6.744727495,0.894837,TRUE,6.687687,,,,,,,,CHEMBL1200517,43
Dd2,CHEMBL76,139,170.0 : 59.3 : 114.0 : 147.0 : 116.0 : 224.0 : 285.0 : 690.0 : 150.0 : 124.0 : 93.0 : 230.0 : 980.0 : 271.0 : 101.8 : 251.3 : 150.0 : 36.0 : 293.0 : 200.0 : 30.0 : 90.0 : 710.0 : 135.0 : 102.0 : 710.0 : 25.0 : 251.34 : 100.0 : 12.1 : 130.0 : 340.0 : 157.9 : 87.9 : 64.2 : 530.0 : 224.7 : 140.0 : 112.5 : 112.6 : 102.0 : 97.4 : 45.8 : 49.0 : 222.0 : 378.0 : 257.6 : 180.0 : 170.0 : 242.3 : 61.8 : 9.8 : 97.0 : 194.0 : 157.9 : 300.0 : 150.0 : 17.0 : 520.0 : 180.0 : 10000.0 : 14.0 : 172.0 : 828.0 : 527.0 : 49.0 : 1280.0 : 265.0 : 275.0 : 113.0 : 122.0 : 130.0 : 110.0 : 130.0 : 163.0 : 170.0 : 97.0 : 102.0 : 140.0 : 170.0 : 110.0 : 364.2 : 543.0 : 210.0 : 230.0 : 96.8 : 51.9 : 145.4 : 50.5 : 143.8 : 170.0 : 221.9 : 46.0 : 215.0 : 190.0 : 80.5 : 106.4 : 200.0 : 172.0 : 127.0 : 177000.0 : 260.0 : 35.13 : 274.0 : 170.0 : 163.0 : 108.5 : 170.0 : 500.0 : 82.3 : 360.0 : 196.0 : 10.0 : 41.7 : 417.0 : 170.0 : 82.0 : 170.0 : 90.3 : 136.0 : 102.0 : 182.0 : 45.5 : 200.0 : 46.0 : 168.74 : 200.0 : 130.0 : 140.0 : 163.0 : 660000.0 : 80.0 : 62.0 : 186.0 : 233.0 : 140.0 : 200.0 : 140.0 : 300.0,6.769551079 : 7.226945307 : 6.943095149 : 6.832682665 : 6.935542011 : 6.649751982 : 6.54515514 : 6.161150909 : 6.823908741 : 6.906578315 : 7.031517051 : 6.638272164 : 6.008773924 : 6.567030709 : 6.992252222 : 6.599807511 : 6.823908741 : 7.443697499 : 6.53313238 : 6.698970004 : 7.522878745 : 7.045757491 : 6.148741651 : 6.869666232 : 6.991399828 : 6.148741651 : 7.602059991 : 6.599738389 : 7.0 : 7.91721463 : 6.886056648 : 6.468521083 : 6.80161787 : 7.056011125 : 7.192464972 : 6.27572413 : 6.648396928 : 6.853871964 : 6.948847478 : 6.948461609 : 6.991399828 : 7.011441043 : 7.339134522 : 7.30980392 : 6.653647026 : 6.4225082 : 6.589054141 : 6.744727495 : 6.769551079 : 6.615646586 : 7.209011525 : 8.008773924 : 7.013228266 : 6.71219827 : 6.80161787 : 6.522878745 : 6.823908741 : 7.769551079 : 6.283996656 : 6.744727495 : 5.0 : 7.853871964 : 6.764471553 : 6.081969663 : 6.278189385 : 7.30980392 : 5.89279003 : 6.576754126 : 6.560667306 : 6.946921557 : 6.913640169 : 6.886056648 : 6.958607315 : 6.886056648 : 6.787812396 : 6.769551079 : 7.013228266 : 6.991399828 : 6.853871964 : 6.769551079 : 6.958607315 : 6.438660059 : 6.26520017 : 6.677780705 : 6.638272164 : 7.014124643 : 7.284832642 : 6.837435593 : 7.296708622 : 6.842241114 : 6.769551079 : 6.653842698 : 7.337242168 : 6.66756154 : 6.721246399 : 7.09420412 : 6.973058372 : 6.698970004 : 6.764471553 : 6.896196279 : 3.752026734 : 6.585026652 : 7.45432185 : 6.562249437 : 6.769551079 : 6.787812396 : 6.964570262 : 6.769551079 : 6.301029996 : 7.084600165 : 6.443697499 : 6.707743929 : 8.0 : 7.379863945 : 6.379863945 : 6.769551079 : 7.086186148 : 6.769551079 : 7.04431225 : 6.866461092 : 6.991399828 : 6.739928612 : 7.341988603 : 6.698970004 : 7.337242168 : 6.772781955 : 6.698970004 : 6.886056648 : 6.853871964 : 6.787812396 : 3.180456064 : 7.096910013 : 7.207608311 : 6.730487056 : 6.632644079 : 6.853871964 : 6.698970004 : 6.853871964 : 6.522878745,0.803512,TRUE,6.789099,,,385,Median,,,,CHEMBL22,43
