Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Strains,pIC50,Potency_label,Representative_pIC50,Flag Groups,mol_freq,strain_freq
CHEMBL5198475,,,504.58,1.0,4.59,10,CCCCc1cc(=O)oc2cc(C)cc(O[C@H](C)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)OC)c12,IC50,'=',55.0,nM,7.26,,,UO_0000065,0,CHEMBL5148396,organism-based format,RBC,CHEMBL5143708,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against Plasmodium falciparum 3D7 infected in human RBC assessed as reduction in parasite growth after 72 hrs by LDH assay,3D7,7.26,active,7.26,,1,7375
CHEMBL5192816,,,502.57,1.0,4.51,9b,CCCCc1cc(=O)oc2cccc(O[C@H](C)C(=O)N3Cc4[nH]c5ccccc5c4C[C@H]3C(=O)OC)c12,IC50,'=',4.1,nM,8.39,,,UO_0000065,0,CHEMBL5148396,organism-based format,RBC,CHEMBL5143708,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against Plasmodium falciparum 3D7 infected in human RBC assessed as reduction in parasite growth after 72 hrs by LDH assay,3D7,8.39,high_potency,8.39,,1,7375
CHEMBL4851446,,,284.36,0.0,1.01,3k,CCCCc1cc(CNC(=O)[C@H](O)C(C)(C)CO)no1,IC50,'=',72.0,nM,7.14,,,UO_0000065,0,CHEMBL4808817,organism-based format,Erythrocyte,CHEMBL4808174,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against ring stage Plasmodium falciparum 3D7 infected in human erythrocytes assessed as inhibition of parasite growth incubated for 96 hrs in presence of 1 uM pantothenate by SYBR Green I dye based fluorescence assay,3D7,7.14,active,7.14,,1,7375
CHEMBL4854393,,,284.36,0.0,1.01,3f,CCCCc1cc(CNC(=O)[C@H](O)C(C)(C)CO)on1,IC50,'=',190.0,nM,6.72,,,UO_0000065,0,CHEMBL4808817,organism-based format,Erythrocyte,CHEMBL4808174,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against ring stage Plasmodium falciparum 3D7 infected in human erythrocytes assessed as inhibition of parasite growth incubated for 96 hrs in presence of 1 uM pantothenate by SYBR Green I dye based fluorescence assay,3D7,6.72,active,6.72,,1,7375
CHEMBL1780015,,,600.54,2.0,8.17,MDG 424,CCCCc1ccc(-c2cc(C(=O)Nc3scc(-c4cccnc4)c3C(=O)OC)c3cc(Br)ccc3n2)cc1,IC50,'=',1240.0,nM,5.91,,,UO_0000065,0,CHEMBL1780853,organism-based format,,CHEMBL1777683,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against Plasmodium falciparum 3D7 infected in RBC assessed as parasite-specific lactate dehydrogenase release,3D7,5.91,inactive,5.91,,1,7375
CHEMBL342230,,,280.37,0.0,4.63,223,CCCCc1ccc(/C=C/C(=O)c2ccc(O)cc2)cc1,IC50,'=',20900.0,nM,4.68,,,UO_0000065,0,CHEMBL880957,organism-based format,,CHEMBL1134841,1,Scientific Literature,J Med Chem,,Inhibition of [3H]hypoxanthine incorporation in Plasmodium falciparum K1,K1,4.68,inactive,4.68,,1,5948
CHEMBL3289168,,,322.41,0.0,2.76,1r,CCCCc1ccc(C(=O)NOCCCCCC(=O)NO)cc1,IC50,'=',260.0,nM,6.58,,,UO_0000065,0,CHEMBL3296470,organism-based format,,CHEMBL3286295,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against asexual blood stage of Plasmodium falciparum 3D7 infected in human serum assessed as [3H]hypoxanthine incorporation incubated for 48 hrs prior to 3H]hypoxanthine addition measured after 24 hrs by liquid scintillation counting analysis,3D7,6.59,active,6.59,,1,7375
CHEMBL3104425,,,337.45,0.0,4.8,16,CCCCc1ccc(C(=O)Nc2nc(-c3ccccn3)cs2)cc1,IC50,'=',7400.0,nM,5.13,,,UO_0000065,0,CHEMBL3106746,organism-based format,,CHEMBL3102791,1,Scientific Literature,Bioorg Med Chem Lett,,Antiplasmodial activity against chloroquine-sensitive asexual erythrocytic stage of Plasmodium falciparum NF54 assessed as parasite growth inhibition by lactate dehydrogenase assay,NF54,5.13,inactive,5.13,CQS,1,4725
CHEMBL493833,,,356.46,1.0,5.98,2k,CCCCc1ccc(C2OOC(c3ccc(CCCC)cc3)OO2)cc1,IC50,'=',3650.0,nM,5.44,,,UO_0000065,0,CHEMBL960858,organism-based format,,CHEMBL1153303,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum D6 in erythrocytes after 72 hrs by LDH activity,D6,5.44,inactive,5.44,CQS,4,2297
CHEMBL493833,,,356.46,1.0,5.98,2d,CCCCc1ccc(C2OOC(c3ccc(CCCC)cc3)OO2)cc1,IC50,'=',4770.0,nM,5.32,,,UO_0000065,0,CHEMBL1051632,organism-based format,,CHEMBL1152414,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity after 72 hrs against chloroquine-resistant Plasmodium falciparum W2 by Malstat LDH activity,W2,5.32,inactive,5.32,CQR,4,5923
CHEMBL493833,,,356.46,1.0,5.98,2d,CCCCc1ccc(C2OOC(c3ccc(CCCC)cc3)OO2)cc1,IC50,'=',3650.0,nM,5.44,,,UO_0000065,0,CHEMBL1051631,organism-based format,,CHEMBL1152414,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity after 72 hrs against chloroquine-sensitive Plasmodium falciparum D6 by Malstat LDH activity,D6,5.44,inactive,5.44,CQS,4,2297
CHEMBL493833,,,356.46,1.0,5.98,2k,CCCCc1ccc(C2OOC(c3ccc(CCCC)cc3)OO2)cc1,IC50,'=',4770.0,nM,5.32,,,UO_0000065,0,CHEMBL960860,organism-based format,,CHEMBL1153303,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum W2 in erythrocytes after 72 hrs by LDH activity,W2,5.32,inactive,5.32,CQR,4,5923
CHEMBL5197373,,,455.56,1.0,5.81,18c,CCCCc1coc2cc(C)cc(O[C@H](C)C(=O)N3Cc4[nH]c5ccccc5c4C[C@H]3C#N)c12,IC50,'=',110.0,nM,6.96,,,UO_0000065,0,CHEMBL5148396,organism-based format,RBC,CHEMBL5143708,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against Plasmodium falciparum 3D7 infected in human RBC assessed as reduction in parasite growth after 72 hrs by LDH assay,3D7,6.96,active,6.96,,1,7375
CHEMBL5203475,,,488.58,1.0,5.46,18a,CCCCc1coc2cc(C)cc(O[C@H](C)C(=O)N3Cc4[nH]c5ccccc5c4C[C@H]3C(=O)OC)c12,IC50,'=',220.0,nM,6.66,,,UO_0000065,0,CHEMBL5148396,organism-based format,RBC,CHEMBL5143708,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against Plasmodium falciparum 3D7 infected in human RBC assessed as reduction in parasite growth after 72 hrs by LDH assay,3D7,6.66,active,6.66,,1,7375
CHEMBL4859481,,,272.36,0.0,2.41,28,CCCCc1nncc(-c2cnnc(CCCC)n2)n1,IC50,'=',340.0,nM,6.47,,,UO_0000065,0,CHEMBL4808462,organism-based format,,CHEMBL4808169,1,Scientific Literature,J Med Chem,,Antimalarial activity against Plasmodium falciparum 3D7 infected in human red blood cells after 72 hrs by DAPI-staining based assay,3D7,6.47,active,6.47,,1,7375
CHEMBL4878339,,,303.37,0.0,1.01,26,CCCCc1nncc(-c2cnnc(OCCN(C)C)n2)n1,IC50,'=',30.0,nM,7.52,,,UO_0000065,0,CHEMBL4808462,organism-based format,,CHEMBL4808169,1,Scientific Literature,J Med Chem,,Antimalarial activity against Plasmodium falciparum 3D7 infected in human red blood cells after 72 hrs by DAPI-staining based assay,3D7,7.52,high_potency,7.52,,1,7375
