Scaffold,count
c1ccc(-c2nnn(CCCN3CCN(c4ccnc5ccccc45)CC3)n2)cc1,38
O=c1cc(-c2ccc(-c3ccccc3)nc2)[nH]c2ccccc12,37
c1cc2c3c(c[nH]c3c1)CC1NCCCC21,36
c1ccc(-c2cc(-c3ccccc3)on2)cc1,36
O=c1c2ccccc2[nH]c2ccc(Nc3ccccc3)cc12,36
O=c1c2ccccc2[nH]c2cc(Nc3ccccc3)ccc12,36
O=S(=O)(c1ccccc1)n1cc(-c2ccncn2)c2ccccc21,36
C1=C2CCCCC2C2CCC3CCCC3C2C1,36
O=C(NC(CCNCc1ccccc1)Cc1ccccc1)c1ccccc1,36
C1=CC(c2ccccc2)C=CN1,35
O=C(NCCCN1CCN(CCCNc2ccnc3ccccc23)CC1)c1ccccc1,35
C1=CC2OC3(CCC(NCCNc4ccnc5ccccc45)CC3)OOC2CC1,35
c1ccc(Oc2ncnc3ccccc23)cc1,35
O=C(CC1CCCCN1)Cn1cnc2ccccc2c1=O,34
O=C1c2ccccc2C(=O)c2ccccc21,34
O=C(Cn1nnc(-c2ccccc2)n1)N1CCN(c2ccnc3ccccc23)CC1,34
O=C(C=Cc1ccccc1)Nc1ccc(NC(=O)Cc2ccccc2)c(C(=O)c2ccccc2)c1,34
O=C1C=C(Nc2ccccc2)SC1,34
C1CCC2C(C1)CCC1C3CCCC3CCC21,34
O=C(CCc1ccccc1)c1ccccc1,34
c1ccc(N2CCC(NCCCc3cccc4ccccc34)CC2)cc1,33
B1OCc2ccccc21,33
c1ccncc1,33
C1=NC=NCN1OCCCNc1ccccc1,32
C1CC2CCC3C4CCC5(CC4CCC3C2C1)OOCOO5,32
c1ccc2c(CC3CC4CCN3CC4)cc(CCCC3CCC4C3CCC3C5CCCCC5CCC43)nc2c1,32
O=c1cc[nH]cc1-c1ccc(Oc2ccccc2)cc1,32
O=C(C=Cc1ccccc1)NCc1ccccc1,32
c1ccc2c(NCCCNCCCCC3CCC4C3CCC3C5CCCCC5CCC43)ccnc2c1,32
c1ccc(COC2CC3CCCC4CCC5OOC43C(O2)O5)cc1,31
O=C(CCc1ccccc1)NC1COC(n2cnc3cncnc32)C1,31
c1ccc(-c2cncc(-c3cccnc3)n2)cc1,31
O=C(C=Cc1ccccc1)C=Cc1ccccc1,31
C1CO1,30
c1ccc2c(NCCCNc3ccncn3)ccnc2c1,30
c1ccc(-c2ccc(CNCCCNc3ccnc4ccccc34)s2)cc1,30
O=C(NCCCNc1nc2ccccc2[nH]1)c1ccccc1,30
c1ccc(-c2cc3ccccc3o2)cc1,30
c1ccc2c(CC3CC4CCN3CC4)ccnc2c1.c1ccc2c(CC3CC4CCN3CC4)ccnc2c1,30
c1ccc(-c2ccc3ncc(-c4ccncc4)n3n2)cc1,30
c1ccc(CCN2CCCCC2)cc1,30
c1ccc2c(NCCNc3ccncn3)ccnc2c1,29
c1ccc2[nH]c(NC3CCN(CCc4ccc(-c5ncno5)cc4)CC3)nc2c1,29
c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1,29
c1ccc(-c2nc3ccccc3c3cc[nH]c23)cc1,29
C=C1CCC2C1CCC1C3CCCCC3CCC21,29
O=C(NCCCNc1c2c3ccccc3nc-2[nH]c2ccccc12)Nc1ccccc1,29
c1ccc2c(c1)nc(NCCCNCCCNc1nc3ccccc3n3cccc13)c1cccn12,28
c1cc2cc(c1)Oc1ccc(cc1)CC1NCCc3ccc(cc31)Oc1cccc3c1C(C2)NCC3,28
c1ccc2c(c1)CCc1ccccc1N2,28
c1ccc(Nc2nccc(N3CCN(c4ccnc5ccccc45)CC3)n2)cc1,28
O=C(NCC12CC(CN1Cc1ccccc1)C2)c1ccccc1,28
c1ccc(-c2cncc(-c3ccccc3)c2)cc1,28
O=C(CN1CCCCC1)Nc1cccc(Nc2ccnc3ccccc23)c1,27
O=C(C=Cc1ccccc1)NCCn1c2ccccc2c2ccncc21,27
O=C(C=Cc1ccccc1)NCCCCNc1ccnc2ccccc12,27
c1ccc(CNc2cccc3nc4ccccc4n23)cc1,27
O=C(NC(CCNCc1ccccc1)Cc1ccccc1)c1ccc(Nc2ccncc2)cc1,27
O=C(C=C1CCC2C1CCC1C3CCCCC3CCC21)Oc1ccccc1,27
c1ccc(CNCc2ccccc2)cc1,27
c1ccc(OCc2cn(CCNc3ccnc4ccccc34)nn2)cc1,26
c1ccc2cc(CNCCNc3ccnc4ccccc34)ccc2c1,26
C1CCC2CCCCC2C1,26
O=C1C=CC(=O)C=C1,26
c1cnccn1,26
O=C(Cc1ccccc1)NC1CCCCC1N1CCCC1,26
c1ncc2nc[nH]c2n1,26
c1ccc(Nc2ncnc(Oc3ccccc3)n2)cc1,26
c1ccc(-c2nc3c(N4CCC(CN5CCNCC5)CC4)nccc3[nH]2)cc1,26
C1=CC(c2ccc[nH]2)=NC1=Cc1[nH]ccc1Cc1ccccc1,26
O=C(C=Cc1ccccc1)NCCc1ccccc1,26
C(=Cc1ccccc1)c1ccccc1,26
C1CCC2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3,26
c1ccc(CCNCCc2ccnc3ccccc23)cc1,26
c1ccc(C(OC2CC3CCC(C2)N3)c2ccccc2)cc1,26
C(CCc1cc2ccccc2c2ccccc12)=NN=Cc1ccccc1,26
c1ccc(Cc2ccccn2)cc1,25
c1ccc2c(NC3CCC(NC4CCC5(CC4)OCCOO5)CC3)ccnc2c1,25
O=C(C=Cc1cccc2ccccc12)c1ccccc1,25
O=c1[nH]c2cnc3ccc(-c4ccccc4)cc3c2n1-c1ccccc1,25
O=c1cc(-c2ccccc2)oc2c(CNCCc3ccccc3)cccc12,25
c1ccc2c(c1)C1CCC2c2ccccc21,25
c1ccc2c(c1)[nH]c1c[nH+]ccc12,25
O=C(COc1cccc2oc(=O)ccc12)N1CCc2c([nH]c3ccccc23)C1,25
O=C(C(=Cc1ccccc1)Oc1ccc(C=NNc2ccnc3ccccc23)cc1)c1ccccc1,25
c1ccc(CNCC23CC4CC(CC(C4)C2)C3)cc1,24
O=C(Cc1ccccc1)NC1CNCC1c1ccccc1,24
c1ccc(C(c2ccccc2)(c2ccccc2)n2ccnc2)cc1,24
c1ccc2c(NCCCCNc3ccncn3)ccnc2c1,24
C(CCc1cccc2ccccc12)=NN=Cc1ccccc1,24
c1ccc2c(NCCCNCCCNc3ccnc4ccccc34)ccnc2c1,24
C(=CC1CN2CCC1CC2Cc1ccnc2ccccc12)c1ccccc1,24
c1ccc(COCCC2CC3CCCC4CCC5OOC43C(O2)O5)cc1,24
C1=C(c2ccccc2)CCN(CCCc2ccccc2)C1,24
c1ccc(Nc2nc3ccc(N4CCNCC4)cc3[nH]2)nc1,24
O=C(C=Cc1ccccc1)c1ccc(C=Cc2ccccc2)cc1,24
O=C(CSc1ccccc1)c1c[nH]c2ccccc12,24
C1C2CC3CC1CC(C2)C3,24
c1ccc(-c2ccc(CNCCNc3ccnc4ccccc34)s2)cc1,24
O=C(NCc1ccccc1)c1nc2cccc(COCc3ccccc3)c2c(=O)[nH]1,24
c1ccc2[nH+]c3c(cc2c1)[n-]c1ccccc13,24
O=C(C=Cc1ccccc1)NCCCNc1ccnc2ccccc12,24
O=C1C(=Cc2ccccc2)Oc2ccccc21,24
c1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1,23
O=C(Nc1ccc(-c2nc3ccccc3[nH]2)cc1)c1ccccc1,23
O=C(c1cnc(Oc2ccc3c(c2)BOC3)cn1)N1CCC1,23
C=C1CCC2CCCC3CCCC1C32,23
c1ccc2c3c([nH]c2c1)CNCC3,23
O=c1cc[nH]c2cc(N3CCNCC3)ccc12,23
O=S(=O)(c1ccccc1)c1ccccc1,23
O=S(=O)(NCCON1C=NC=NC1)c1ccccc1,23
O=C(Nc1nccs1)c1ccnn1Cc1ccccc1,23
c1ccc(-c2cccc(Nc3ccnc4ccccc34)c2)cc1,23
c1ccc2c(Nc3cc(CN4CCCC4)cc(CN4CCCC4)c3)c3ncccc3nc2c1,23
O=c1c2ccccc2nc(C(Cc2ccccc2)NS(=O)(=O)c2ccccc2)n1N=Cc1ccccc1,22
O=c1cc[nH]cc1-c1ccc(-c2ccccc2)nc1,22
c1ccc(C(NCCNc2ccnc3ccccc23)c2nnn[nH]2)cc1,22
c1ccc2c(c1)ccc[n+]2CCCCCCCCCC[n+]1cccc2ccccc21,22
c1ccc2c(c1)[nH]c1cc3ccncc3cc12,22
