Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Strains,pIC50,Potency_label,Representative_pIC50,Flag Groups,mol_freq,strain_freq
CHEMBL4941229,,,441.92,1.0,5.55,1701383,Cc1ccc(C2=C[C@@H](c3ccc(Cl)cc3)n3nc(NC(=O)c4ccccc4)nc3N2)cc1,IC50,'=',1740.0,nM,5.76,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.76,inactive,5.63,,4,4725
CHEMBL4892774,,,434.47,0.0,4.02,1703729,CCn1cc(-c2nc(-c3ccccc3C)no2)c(=O)c2cc(F)c(N3CCOCC3)cc21,IC50,'=',3550.0,nM,5.45,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.45,inactive,5.3,,3,4725
CHEMBL4927288,,,521.46,1.0,2.43,1647756,CN(C)CC(O)COc1ccc(S(=O)(=O)c2ccc(OCC(O)CN(C)C)c(Cl)c2)cc1Cl,IC50,'=',1510.0,nM,5.82,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.82,inactive,5.61,,4,4725
CHEMBL5007278,,,586.65,2.0,5.6,1648036,COc1ccc(CNC(=O)c2ccc(N3C(=O)[C@@H]4Cc5c([nH]c6ccccc56)C(c5cccc(OC)c5)N4C3=O)cc2)cc1,IC50,'=',3160.0,nM,5.5,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.5,inactive,5.33,,3,4725
CHEMBL1532367,,,230.19,0.0,-0.37,1648130,CCOC(=O)CCn1cc(F)c(=O)[nH]c1=O,IC50,'=',26.9,nM,7.57,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,7.57,high_potency,7.36,,2,4725
CHEMBL4951537,,,355.46,1.0,5.51,1648243,CC[n+]1c(/C=C/N(C)c2ccccc2)oc2ccc(-c3ccccc3)cc21,IC50,'=',562.3,nM,6.25,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,6.25,active,5.856667,,4,4725
CHEMBL4970694,,,499.4,0.0,2.87,1734041,N#Cc1cc(S(=O)(=O)NCCN(C2CC2)S(=O)(=O)c2ccc(Cl)c(C#N)c2)ccc1Cl,IC50,'=',2040.0,nM,5.69,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.69,inactive,5.573333,,5,4725
CHEMBL260389,,,391.0,1.0,5.18,4e,CCN(CC)CCCNCCCCCCNc1ccnc2cc(Cl)ccc12,IC50,'=',216.0,nM,6.67,,,UO_0000065,0,CHEMBL928293,organism-based format,,CHEMBL1144696,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum FCB after 72 hrs by SYBR green 1 assay,FCB,6.67,active,6.67,CQR,4,56
CHEMBL3084843,,,661.88,2.0,6.79,18,CCNC(=O)CCC(C)C1CC[C@H]2[C@@H]3[C@H](OC(C)=O)C[C@@H]4CC5(CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C)OOC1(CCC(C)CC1)OO5,IC50,'=',9.93,nM,8.0,,,UO_0000065,0,CHEMBL765668,organism-based format,,CHEMBL1135585,1,Scientific Literature,J Med Chem,,In vitro inhibitory activity against chloroquine-resistant Plasmodium falciparum W2 Indochina,W2,8.0,high_potency,8.205,CQR,4,5923
CHEMBL260359,,,647.89,2.0,7.41,17a,CCCNCCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](OC(C)=O)C[C@@H]4CC5(CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C)OOC1(CCCCC1)OO5,IC50,'=',11.1,nM,7.96,,,UO_0000065,0,CHEMBL925911,organism-based format,,CHEMBL1142398,1,Scientific Literature,J Med Chem,,Antimalarial activity against Plasmodium falciparum W2,W2,7.95,high_potency,7.95,,3,5923
