fold,fold_test_rmse,external_rmse,fold_test/rmse,fold_test/mse,fold_test/mae,external_test/rmse,external_test/mse,external_test/mae
1,6.3697357177734375,6.450809001922607,6.3697357177734375,40.57353591918945,6.276161193847656,6.450809001922607,41.612937927246094,6.37587833404541
2,5.927419185638428,6.320358753204346,5.927419185638428,35.13429641723633,5.862410068511963,6.320358753204346,39.94693374633789,6.244426250457764
3,6.268022537231445,6.335148334503174,6.268022537231445,39.28810501098633,6.204570293426514,6.335148334503174,40.13410186767578,6.275843620300293
4,6.181168079376221,6.3632025718688965,6.181168079376221,38.20683670043945,6.115149974822998,6.3632025718688965,40.4903450012207,6.29254674911499
5,6.383037567138672,6.503170490264893,6.383037567138672,40.743167877197266,6.322685718536377,6.503170490264893,42.29122543334961,6.439807891845703
