strain_clean,raw_variants,category
K14,K14,Standalone
K1AM,K1AM,Standalone
K1CB1,K1CB1,Standalone
K1Hf,K1Hf,Standalone
K1mef,K1mef,Keep separate - resistance/engineered
K2,K2,Standalone
K39,K39,Standalone
KA6,KA6,Standalone
KB8,KB8,Standalone
KC2,KC2,Standalone
KC5,KC5,Standalone
KC98,KC98,Standalone
KC98358,KC98358,Standalone
KH7,KH7,Standalone
Kil-164,Kil-164,Standalone
L1,L1,Standalone
LA10,LA10,Standalone
LC12,LC12,Standalone
MB,MB,Standalone
MP14,MP14,Standalone
MRA1239,MRA1239,Standalone
MRA1240,MRA1240,Standalone
MRC-02,MRC-02,Keep separate - resistance/engineered
MRC2,MRC-2; MRC2,Synonym merge
Mad20,Mad20,Standalone
NF10,NF10,Standalone
NF54,NF54,Standalone
NF54-R,NF54-R,Standalone
NHP1337,NHP1337,Standalone
NIC,NIC,Standalone
Nigeria,Nigeria,Standalone
Nigerian,Nigerian,Standalone
PA,PA,Standalone
PC49,PC49,Standalone
PF18,PF18,Standalone
PFB,PFB,Standalone
PH1263-C,PH1263-C,Standalone
PH3,PH3,Standalone
PaloAlto,Palo Alto; PaloAlto,Synonym merge
PoW,PoW; poW,Synonym merge
QF5,QF5,Standalone
R1H6/2,R1H6/2,Keep separate - resistance/engineered
RCS,RCS,Keep separate - resistance/engineered
RF12,RF12,Standalone
RKL-2,RKL-2,Standalone
RKL9,RKL9,Standalone
RSA11,RSA11,Standalone
S20,S20,Standalone
SB,SB,Standalone
SB1,SB1,Standalone
SB1-A6,SB1-A6,Standalone
SGE2,SGE2,Standalone
SKF58,SKF58,Standalone
SM,SM,Standalone
SRIV35,SRIV35,Standalone
T9/94,T9.94; T9/94,Synonym merge
T9/94 RC17,T9/94 RC17,Keep separate - resistance/engineered
T996,T9/96; T996,Synonym merge
TF1,TF1,Standalone
THAI/Thailand,THAI/Thailand,Standalone
TM267TR,TM267TR,Standalone
TM4,TM4,Standalone
TM4/8.2,TM4/8.2,Standalone
TM6,TM6,Standalone
TM90C2A,TM90-C2A; TM90C2A,Synonym merge
TM90C2B,TM90-C2B; TM90C2B; TM90C2b; Tm90-C2B; Tm90C2b,Synonym merge
TM90C6B,TM90C6B,Standalone
TM91-C235,TM91-C235,Standalone
TM93-C1088,TM93-C1088,Standalone
Thai,THAI; Thai,Synonym merge
Tm90,Tm90,Standalone
V1S,V1/S; V1S,Synonym merge
VNS,VNS,Standalone
VS1,VS/1; VS1,Synonym merge
Voll,Voll,Standalone
W2,W2,Standalone
W2mef,W2-Mef; W2MEF; W2mef,Synonym merge
WC4,WC4,Standalone
WE2,WE2,Standalone
WF12,WF12,Standalone
XB3,XB3,Standalone
XD8,XD8,Standalone
XE7,XE7,Standalone
XF12,XF12,Standalone
XG10,XG10,Standalone
wtTM4/8.2,wtTM4/8.2,Standalone
