epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,49,,0.7384340763092041,,,,
0,99,,0.7476939558982849,,,,
0,149,,0.677571177482605,,,,
0,199,,0.39297670125961304,,,,
0,249,,0.520896852016449,,,,
0,299,,0.42399466037750244,,,,
0,349,,0.5178648233413696,,,,
0,360,,,0.6233662366867065,0.6235018968582153,0.7896213531494141,0.6235119700431824
0,360,0.6345248818397522,,,,,
1,399,,0.42554771900177,,,,
1,449,,0.5210473537445068,,,,
1,499,,0.7805378437042236,,,,
1,549,,0.5703116655349731,,,,
1,599,,0.5014957189559937,,,,
1,649,,0.4088813066482544,,,,
1,699,,0.3625115156173706,,,,
1,721,,,0.6142478585243225,0.6070225834846497,0.7791165113449097,0.6070117354393005
1,721,0.5375012755393982,,,,,
2,749,,0.4920255243778229,,,,
2,799,,0.5141103267669678,,,,
2,849,,0.5244712829589844,,,,
2,899,,0.3343234658241272,,,,
2,949,,0.4726495146751404,,,,
2,999,,0.5455670356750488,,,,
2,1049,,0.36526668071746826,,,,
2,1082,,,0.5360888242721558,0.47612762451171875,0.6900200247764587,0.47613149881362915
2,1082,0.4587157070636749,,,,,
3,1099,,0.38880985975265503,,,,
3,1149,,0.4956059455871582,,,,
3,1199,,0.47862452268600464,,,,
3,1249,,0.545447587966919,,,,
3,1299,,0.3131006956100464,,,,
3,1349,,0.36494898796081543,,,,
3,1399,,0.45258814096450806,,,,
3,1443,,,0.5344398021697998,0.4977172613143921,0.70549076795578,0.497722327709198
3,1443,0.4046545624732971,,,,,
4,1449,,0.3329516351222992,,,,
4,1499,,0.7232853174209595,,,,
4,1549,,0.4491090178489685,,,,
4,1599,,0.49411630630493164,,,,
4,1649,,0.46760109066963196,,,,
4,1699,,0.4020209312438965,,,,
4,1749,,0.4204924404621124,,,,
4,1799,,0.2187896966934204,,,,
4,1804,,,0.6687583327293396,0.7169038653373718,0.8467017412185669,0.7169005870819092
4,1804,0.36713141202926636,,,,,
5,1849,,0.3588297963142395,,,,
5,1899,,0.3890610933303833,,,,
5,1949,,0.4152621030807495,,,,
5,1999,,0.3495430052280426,,,,
5,2049,,0.3000355064868927,,,,
5,2099,,0.23542430996894836,,,,
5,2149,,0.3547465205192566,,,,
5,2165,,,0.5252097249031067,0.47279760241508484,0.6876028180122375,0.472801148891449
5,2165,0.34340807795524597,,,,,
6,2199,,0.2906801104545593,,,,
6,2249,,0.2920450270175934,,,,
6,2299,,0.3169199824333191,,,,
6,2349,,0.3723065257072449,,,,
6,2399,,0.30423372983932495,,,,
6,2449,,0.3601803183555603,,,,
6,2499,,0.2934519052505493,,,,
6,2526,,,0.4601079523563385,0.3672473430633545,0.6060093641281128,0.36724892258644104
6,2526,0.32112714648246765,,,,,
7,2549,,0.537418007850647,,,,
7,2599,,0.3696042001247406,,,,
7,2649,,0.4321623146533966,,,,
7,2699,,0.2662394046783447,,,,
7,2749,,0.38601750135421753,,,,
7,2799,,0.3402462303638458,,,,
7,2849,,0.3484138250350952,,,,
7,2887,,,0.48147356510162354,0.4014679789543152,0.6336150169372559,0.40146759152412415
7,2887,0.30428963899612427,,,,,
8,2899,,0.3458857238292694,,,,
8,2949,,0.39441800117492676,,,,
8,2999,,0.2732987701892853,,,,
8,3049,,0.26877889037132263,,,,
8,3099,,0.22340664267539978,,,,
8,3149,,0.32131004333496094,,,,
8,3199,,0.2878124415874481,,,,
8,3248,,,0.46562016010284424,0.37110191583633423,0.6091813445091248,0.37110114097595215
8,3248,0.28806576132774353,,,,,
9,3249,,0.3714841604232788,,,,
9,3299,,0.1558282971382141,,,,
9,3349,,0.4887101948261261,,,,
9,3399,,0.35579729080200195,,,,
9,3449,,0.22967125475406647,,,,
9,3499,,0.14140579104423523,,,,
9,3549,,0.2247847318649292,,,,
9,3599,,0.19847837090492249,,,,
9,3609,,,0.4542827308177948,0.3613683581352234,0.6011391878128052,0.36136099696159363
9,3609,0.276917040348053,,,,,
10,3649,,0.2995162308216095,,,,
10,3699,,0.34527334570884705,,,,
10,3749,,0.24324077367782593,,,,
10,3799,,0.3843075931072235,,,,
10,3849,,0.49934232234954834,,,,
10,3899,,0.2703302502632141,,,,
10,3949,,0.29106438159942627,,,,
10,3970,,,0.425473153591156,0.31948351860046387,0.5652287602424622,0.3194853365421295
10,3970,0.27117103338241577,,,,,
11,3999,,0.17127454280853271,,,,
11,4049,,0.17188504338264465,,,,
11,4099,,0.1738457828760147,,,,
11,4149,,0.22187811136245728,,,,
11,4199,,0.36391758918762207,,,,
11,4249,,0.2861157953739166,,,,
11,4299,,0.3644143342971802,,,,
11,4331,,,0.4572484791278839,0.35935869812965393,0.5994653701782227,0.359353244304657
11,4331,0.2563159763813019,,,,,
12,4349,,0.24022504687309265,,,,
12,4399,,0.2029838114976883,,,,
12,4449,,0.15697477757930756,,,,
12,4499,,0.22480855882167816,,,,
12,4549,,0.2049838751554489,,,,
12,4599,,0.2200653851032257,,,,
12,4649,,0.27713900804519653,,,,
12,4692,,,0.4530092775821686,0.35110822319984436,0.5925438404083252,0.35111135244369507
12,4692,0.2467699944972992,,,,,
13,4699,,0.20379778742790222,,,,
13,4749,,0.4507465064525604,,,,
13,4799,,0.25079742074012756,,,,
13,4849,,0.2738761603832245,,,,
13,4899,,0.15897229313850403,,,,
13,4949,,0.21200183033943176,,,,
13,4999,,0.3742632269859314,,,,
13,5049,,0.17806503176689148,,,,
13,5053,,,0.4248787760734558,0.31470024585723877,0.5609815120697021,0.314700722694397
13,5053,0.24039232730865479,,,,,
14,5099,,0.3040146231651306,,,,
14,5149,,0.2662496566772461,,,,
14,5199,,0.24617356061935425,,,,
14,5249,,0.2493528425693512,,,,
14,5299,,0.2191748172044754,,,,
14,5349,,0.22683702409267426,,,,
14,5399,,0.21646186709403992,,,,
14,5414,,,0.42553216218948364,0.310543030500412,0.5572638511657715,0.31055039167404175
14,5414,0.23298361897468567,,,,,
15,5449,,0.21858030557632446,,,,
15,5499,,0.20023059844970703,,,,
15,5549,,0.36629173159599304,,,,
15,5599,,0.2995673716068268,,,,
15,5649,,0.23265457153320312,,,,
15,5699,,0.2900221645832062,,,,
15,5749,,0.16695553064346313,,,,
15,5775,,,0.4232088029384613,0.31751370429992676,0.5634835362434387,0.31751328706741333
15,5775,0.2297808825969696,,,,,
16,5799,,0.2070581316947937,,,,
16,5849,,0.15482138097286224,,,,
16,5899,,0.15460892021656036,,,,
16,5949,,0.2342497706413269,,,,
16,5999,,0.36392998695373535,,,,
16,6049,,0.18691346049308777,,,,
16,6099,,0.1904067099094391,,,,
16,6136,,,0.41912275552749634,0.3116392195224762,0.5582465529441833,0.31163865327835083
16,6136,0.22086991369724274,,,,,
17,6149,,0.2230539619922638,,,,
17,6199,,0.18965068459510803,,,,
17,6249,,0.3396563231945038,,,,
17,6299,,0.3500545620918274,,,,
17,6349,,0.2947278916835785,,,,
17,6399,,0.2557322680950165,,,,
17,6449,,0.2548680007457733,,,,
17,6497,,,0.4265173673629761,0.32513535022735596,0.5702064037322998,0.32513681054115295
17,6497,0.2180219292640686,,,,,
18,6499,,0.2575574815273285,,,,
18,6549,,0.1979919970035553,,,,
18,6599,,0.1813463568687439,,,,
18,6649,,0.2533565163612366,,,,
18,6699,,0.2636043429374695,,,,
18,6749,,0.21217215061187744,,,,
18,6799,,0.23080982267856598,,,,
18,6849,,0.16617543995380402,,,,
18,6858,,,0.41629594564437866,0.30985918641090393,0.5566499829292297,0.30986201763153076
18,6858,0.20995868742465973,,,,,
19,6899,,0.1768612563610077,,,,
19,6949,,0.1350511908531189,,,,
19,6999,,0.17478927969932556,,,,
19,7049,,0.28668123483657837,,,,
19,7099,,0.2888825535774231,,,,
19,7149,,0.16303032636642456,,,,
19,7199,,0.2847661077976227,,,,
19,7219,,,0.4119963049888611,0.2968149781227112,0.5448073148727417,0.2968099117279053
19,7219,0.2049587219953537,,,,,
20,7249,,0.2792956829071045,,,,
20,7299,,0.2264169156551361,,,,
20,7349,,0.19843295216560364,,,,
20,7399,,0.17852061986923218,,,,
20,7449,,0.19884604215621948,,,,
20,7499,,0.102538101375103,,,,
20,7549,,0.2628231644630432,,,,
20,7580,,,0.41649556159973145,0.31290021538734436,0.5593748688697815,0.31289756298065186
20,7580,0.20240241289138794,,,,,
21,7599,,0.18792200088500977,,,,
21,7649,,0.24151429533958435,,,,
21,7699,,0.29016923904418945,,,,
21,7749,,0.20358198881149292,,,,
21,7799,,0.33140575885772705,,,,
21,7849,,0.2920764684677124,,,,
21,7899,,0.15132570266723633,,,,
