epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,49,,0.6532407402992249,,,,
0,99,,0.6560463905334473,,,,
0,149,,0.5894864797592163,,,,
0,199,,0.5932490229606628,,,,
0,249,,0.45832979679107666,,,,
0,299,,0.5555712580680847,,,,
0,349,,0.43338248133659363,,,,
0,399,,0.34428849816322327,,,,
0,449,,0.4421769082546234,,,,
0,460,,,0.7626126408576965,0.8866459131240845,0.941618800163269,0.8866459131240845
0,460,0.5785107016563416,,,,,
1,499,,0.47393128275871277,,,,
1,549,,0.581647515296936,,,,
1,599,,0.4640136957168579,,,,
1,649,,0.5124752521514893,,,,
1,699,,0.516944169998169,,,,
1,749,,0.6820675134658813,,,,
1,799,,0.3676659166812897,,,,
1,849,,0.39327943325042725,,,,
1,899,,0.5141648650169373,,,,
1,921,,,0.5008283853530884,0.4241119623184204,0.6512387990951538,0.4241119623184204
1,921,0.45718011260032654,,,,,
2,949,,0.35915154218673706,,,,
2,999,,0.4396699070930481,,,,
