Unique Flags,,,,,Flag Groups,,
chloroquine/quinine/pyrimethamine/sulfadoxine/nitd609 resistant,,,,,"CQR, QR, SXDR, NITD609R",,
chloroquine and sulfadoxine resistant and mefloquine sensitive,,,,,"CQR, SXDR, MEFS",,
ring stage of chloroquine resistant,,,,,CQR,,
erythrocytic stage of chloroquine susceptible,,,,,CQS,,
chloroquine resistant/verapamil sensitive,,,,,"CQR, VRPS",,
asynchronous chloroquine sensitive,,,,,CQS,,
pyr resistant,,,,,PYRR,,
ring stage of chloroquine resistant/mefloquine sensitive,,,,,"CQR, MEFS",,
nitd678 resistant,,,,,NITD678R,,
for chloroquine resistant,,,,,CQR,,
the chloroquine resistant,,,,,CQR,,
erythrocytic form of chloroquine/pyrimethamine resistant,,,,,"CQR, PYRR",,
chloroquine/cycloguanil resistant,,,,,"CQR, CYGR",,
chloroquine sensitive and mefloquine resistant,,,,,"CQS, MEFR",,
morfloquine resistant,,,,,MORR,,
mid ring stage of chloroquine resistant,,,,,CQR,,
chloroquine/antifolate sensitive,,,,,"CQS, AFS",,
chloroquine pyrimethamine and mefloquine resistant,,,,,"CQR, PYRR, MEFR",,
erythrocytic stages of chloroquine sensitive,,,,,CQS,,
the multidrug resistant,,,,,MDR,,
ring stage chloroquine susceptible,,,,,CQS,,
schizont stage of chloroquine susceptible,,,,,CQS,,
synchronized ring stage of chloroquine resistant,,,,,CQR,,
synchronized ring stage of chloroquine sensitive,,,,,CQS,,
schizont stage of chloroquine sensitive,,,,,CQS,,
erythrocytic stages of chloroquine resistant,,,,,CQR,,
ring stage of cq resistant,,,,,CQR,,
chloroquine resistant mefloquine susceptible,,,,,"CQR, MEFS",,
chloroquine/multidrug resistant,,,,,"CQR, MDR",,
erythrocyte form of chloroquine sensitive,,,,,CQS,,
ring stage of chloroquine sensitive,,,,,CQS,,
sulfadoxine sensitive,,,,,SXDS,,
inhibition of chloroquine resistant,,,,,CQR,,
intraerythrocytic stage of chloroquine/pyrimethamine resistant,,,,,"CQR, PYRR",,
blood form of chloroquine resistant/mefloquine sensitive,,,,,"CQR, MEFS",,
sorbitol synchronized post ring stage chloroquine mefloquine and pyrimethamine resistant,,,,,"CQR, MEFR, PYRR",,
elq300 resistant,,,,,ELQ300R,,
chloroquine pyrimethamine cycloguanil resistant,,,,,"CQR, CYGR, PYRR",,
erythrocytic stages chloroquine and pyrimethamine resistant,,,,,"CQR, PYRR",,
intraerythrocytic ring stage culture of chloroquine sensitive,,,,,CQS,,
mefloquine chloroquine and quinine resistant,,,,,"CQR, QR",,
pfatp4 inhibitor sj557733 resistant,,,,,SJ557733R,,
drug susceptible,,,,,MDS,,
erythrocyte form of chloroquine resistant,,,,,CQR,,
choloroquine sensitive,,,,,CQS,,
asynchronous chloroquine resistant,,,,,CQR,,
pyr sensitive,,,,,PYRS,,
ring stage drug sensitive,,,,,MDS,,
multi resistant,,,,,MDR,,
asexual erythrocyte stages of chloroquine resistant,,,,,CQR,,
chloroquine/mq/atrovaquone resistant,,,,,"CQR, MEFR, ATVR",,
asexual blood stage chloroquine sensitive,,,,,CQS,,
asexual stage of chloroquine resistant,,,,,CQR,,
highly chloroquine resistant,,,,,CQR,,
ring stage multidrug resistant,,,,,MDR,,
intraerythrocytic stage of chloroquine sensitive,,,,,CQS,,
ddd107498 resistant,,,,,DDD107498R,,
asynchronized chloroquine resistant,,,,,CQR,,
asexual erythrocyte stages of chloroquine sensitive,,,,,CQS,,
in chloroquine resistant/verapamil sensitive,,,,,"CQR, VRPS",,
chloroquine/sp resistant,,,,,CQR,,
mq resistant,,,,,MEFR,,
asexual chloroquine sensitive,,,,,CQS,,
intraerythrocytic form of chloroquine/pyrimethamine resistant,,,,,"CQS, PYRR",,
asexual chloroquine resistant,,,,,CQR,,
blood stage of chloroquine and pyrimethamine resistant,,,,,"CQR, PYRR",,
blood stage chloroquine resistant,,,,,CQR,,
kaf156 resistant,,,,,KAF156R,,
chloroquine resistant/mefloquine resistant,,,,,"CQR, MEFR",,
cq/pyr/ato resistant,,,,,"CQR, PYRR, ATVQR",,
asexual erythrocytic form of chloroquine sensitive,,,,,CQS,,
chloroquine pyrimethamine proguanil resistant,,,,,"CQR, PRGR, PYRR",,
chloroquine/pyrimethamine/sulfadoxine resistant,,,,,"CQR, PYRR, SXDR",,
chloroquine and antifolate resistant,,,,,"CQR, AFR",,
as 3rd generation ring stage chloroquine resistant,,,,,CQR,,
plasmodium falciparum chloroquine resistant,,,,,CQR,,
chloroquine mefloquine and pyrimethamine resistant,,,,,"MEFR, PYRR",,
asexual blood stage quinine resistant,,,,,QR,,
growth inhibition after 6 hrs in chloroquine resistant,,,,,CQR,,
d sorbitol synchronized ring stage chloroquine/mefloquine/pyrimethamine resistant,,,,,"CQR, MEFR, PYRR",,
blood stages of chloroquine resistant,,,,,CQR,,
chloroquine pyrimethamine sensitive,,,,,PYRS,,
asexual blood stage pyrimethamine resistant,,,,,PYRR,,
asexual blood stage mefloquine resistant,,,,,MEFR,,
art resistant,,,,,ARTR,,
asexual blood stage of chloroquine resistant,,,,,CQR,,
antimalarial activity against chloroquine sensitive,,,,,CQS,,
pfmdr1 overexpressing chloroquine resistant,,,,,CQR,,
dsm265 resistant,,,,,DSM265R,,
sorbitol synchronized cq resistant,,,,,CQR,,
plasmodium falciparum 3d7 cq sensitive,,,,,CQS,,
chloroquine and artemisinin sensitive,,,,,ARTS,,
cq/sdx/pyr/mq/cyc resistant,,,,,"CQR, SXDR, PYRR, MEFR, CYGR",,
chloroquine amodiaquine quinine and artesunate resistant,,,,,"CQR, AMQR, QR, ARTR",,
