epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,49,,0.5149168372154236,,,,
0,99,,0.6271485090255737,,,,
0,149,,0.512920618057251,,,,
0,199,,0.6222003698348999,,,,
0,249,,0.6824346780776978,,,,
0,299,,0.5037405490875244,,,,
0,349,,0.5021998882293701,,,,
0,399,,0.5175613164901733,,,,
0,412,,,0.6139073371887207,0.5944584012031555,0.7710112929344177,0.5944511294364929
0,412,0.6310840845108032,,,,,
1,449,,0.5207735300064087,,,,
1,499,,0.5417706966400146,,,,
1,549,,0.5792714357376099,,,,
1,599,,0.6105988025665283,,,,
1,649,,0.36760884523391724,,,,
1,699,,0.32149460911750793,,,,
1,749,,0.5032113790512085,,,,
1,799,,0.4622805118560791,,,,
1,825,,,0.5944726467132568,0.5904895663261414,0.7684332132339478,0.5905005931854248
1,825,0.5189226865768433,,,,,
2,849,,0.3925355076789856,,,,
2,899,,0.584556519985199,,,,
2,949,,0.3709174394607544,,,,
2,999,,0.5118560791015625,,,,
2,1049,,0.5114823579788208,,,,
2,1099,,0.34976571798324585,,,,
2,1149,,0.2973814606666565,,,,
2,1199,,0.4712631404399872,,,,
2,1238,,,0.5859978795051575,0.5780086517333984,0.7602688074111938,0.577993631362915
2,1238,0.4499317407608032,,,,,
3,1249,,0.39966604113578796,,,,
3,1299,,0.34638869762420654,,,,
3,1349,,0.3125787377357483,,,,
3,1399,,0.3074309527873993,,,,
3,1449,,0.2817036509513855,,,,
3,1499,,0.45487338304519653,,,,
3,1549,,0.3592936098575592,,,,
3,1599,,0.2234959900379181,,,,
3,1649,,0.4133639335632324,,,,
3,1651,,,0.46492668986320496,0.37420570850372314,0.6117235422134399,0.37420654296875
3,1651,0.3882277309894562,,,,,
4,1699,,0.29364508390426636,,,,
4,1749,,0.2985682487487793,,,,
4,1799,,0.283716082572937,,,,
4,1849,,0.4585956335067749,,,,
4,1899,,0.32437068223953247,,,,
4,1949,,0.29445117712020874,,,,
4,1999,,0.46353477239608765,,,,
4,2049,,0.3728290796279907,,,,
4,2064,,,0.4470844268798828,0.35131600499153137,0.5927191376686096,0.35131970047950745
4,2064,0.3519682288169861,,,,,
5,2099,,0.280028760433197,,,,
5,2149,,0.33165544271469116,,,,
5,2199,,0.19068804383277893,,,,
5,2249,,0.3426954746246338,,,,
5,2299,,0.40858328342437744,,,,
5,2349,,0.36645928025245667,,,,
