method,p05,q1,median,q3,p95,n
butina,0.26582278481012656,0.3611111111111111,0.4603174603174603,0.625,0.8333333333333334,39624
random,0.3448275862068966,0.6530612244897959,0.7857142857142857,0.8852459016393442,1.0,39624
scaffold,0.30158730158730157,0.46835443037974683,0.6418831767090474,0.7678571428571429,0.9090909090909091,39624
umap,0.2602739726027397,0.3333333333333333,0.44144144144144143,0.6521739130434783,0.7936507936507936,39624
umap_hdb,0.2807017543859649,0.37349397590361444,0.5454545454545454,0.7102402745995424,0.8434782608695652,39624
