method,p05,q1,median,q3,p95,n
butina,0.2702702702702703,0.36764705882352944,0.4782608695652174,0.6346153846153846,0.8333333333333334,39624
random,0.34285714285714286,0.6595744680851063,0.7878787878787878,0.8867924528301887,1.0,39624
scaffold,0.2988505747126437,0.48148148148148145,0.6530612244897959,0.7678571428571429,0.9090909090909091,39624
umap_kmeans,0.1917808219178082,0.2835820895522388,0.34210526315789475,0.42105263157894735,0.5689655172413793,39624
umap_ward,0.19230769230769232,0.2777777777777778,0.3333333333333333,0.42105263157894735,0.5517241379310345,39624
