dataset,smiles,max_tani
Sexual,CCC(CC)c1cc([C@H]2CN3CC[C@H]2C[C@@H]3CNS(=O)(=O)Cc2ccccc2)nc(-c2ccncc2)n1,0.2808988764044944
Sexual,N#Cc1cc(S(=O)(=O)NCCN(C2CC2)S(=O)(=O)c2ccc(Cl)c(C#N)c2)ccc1Cl,0.3076923076923077
Sexual,CCN(CC)CCCNCCCCCCNc1ccnc2cc(Cl)ccc12,1.0
Sexual,CN(C)Cc1ccc(Nc2c3ccc(N)cc3nc3cc(N)ccc23)cc1,0.8809523809523809
Sexual,CCNC(=O)CCC(C)C1CC[C@H]2[C@@H]3[C@H](OC(C)=O)C[C@@H]4CC5(CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C)OOC1(CCC(C)CC1)OO5,0.8933333333333333
Sexual,CCCNCCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](OC(C)=O)C[C@@H]4CC5(CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C)OOC1(CCCCC1)OO5,0.8571428571428571
Sexual,Nc1cc(CO)cc(Nc2ccnc3cc(Cl)ccc23)c1,0.7115384615384616
Sexual,O=C(CN1CCCCC1)Nc1cc(CNCCN2CCCC2)cc(Nc2ccnc3cc(Cl)ccc23)c1,1.0
Sexual,CCOc1ccc(C(=O)/C=C/c2ccc(F)cc2)cc1,0.7692307692307693
Sexual,O=C(/C=C/c1ccccn1)c1ccc(O)cc1O,0.6410256410256411
Sexual,O=C(/C=C/c1ccnc2ccccc12)c1ccc(O)cc1,0.7272727272727273
Sexual,CCN(CC)CCNc1cc(-c2ccc(F)cc2)c(C#N)c2nc3ccccc3n12,0.8983050847457628
Sexual,CN(C)CCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3ccccc3n12,0.9830508474576272
Sexual,CN(C)CCNc1cc(-c2ccc(Cl)cc2)c(C#N)c2nc3ccccc3n12,0.8947368421052632
